Área Geográfica,,Valores constantes a precios de 2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Valores constantes a precios de 2003 - Absolutos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,,,,,2004,,,,,2005,,,,,2006,,,,,2007,,,,,2008,,,,,2009,,,,,2010,,,,,2011,,,,
,,Actividad económica,,,,,Actividad económica,,,,,Actividad económica,,,,,Actividad económica,,,,,Actividad económica,,,,,Actividad económica,,,,,Actividad económica,,,,,Actividad económica,,,,,Actividad económica,,,,
Clave,Nombre,Total,Actividades primarias,Actividades secundarias,Actividades terciarias,Servicios de Intermediación Financiera Medidos Indirectamente,Total,Actividades primarias,Actividades secundarias,Actividades terciarias,Servicios de Intermediación Financiera Medidos Indirectamente,Total,Actividades primarias,Actividades secundarias,Actividades terciarias,Servicios de Intermediación Financiera Medidos Indirectamente,Total,Actividades primarias,Actividades secundarias,Actividades terciarias,Servicios de Intermediación Financiera Medidos Indirectamente,Total,Actividades primarias,Actividades secundarias,Actividades terciarias,Servicios de Intermediación Financiera Medidos Indirectamente,Total,Actividades primarias,Actividades secundarias,Actividades terciarias,Servicios de Intermediación Financiera Medidos Indirectamente,Total,Actividades primarias,Actividades secundarias,Actividades terciarias,Servicios de Intermediación Financiera Medidos Indirectamente,Total,Actividades primarias,Actividades secundarias,Actividades terciarias,Servicios de Intermediación Financiera Medidos Indirectamente,Total,Actividades primarias,Actividades secundarias,Actividades terciarias,Servicios de Intermediación Financiera Medidos Indirectamente
11,Guanajuato,290046486,13990551,111570133,165980455,-1494653,298270935,14251977,112334011,173315631,-1630684,304286684,13243373,114095040,179596148,-2647877,321362532,12685674,123209286,188940686,-3473114,325926362,13904385,120522408,195808735,-4309167,328842691,15136485,118791816,200029534,-5115145,313713997,13216328,115262252,190633839,-5398422,344012329,14419001,131711526,203901085,-6019282,360154079,14571296,137613348,214694579,-6725143
12,Guerrero,116408801,7917140,19240319,89516554,-265211,121373444,7618752,18979699,95056096,-281103,124512365,7817824,19939978,97118954,-364391,126291488,8164148,20665705,97961371,-499736,132509075,8650373,24042485,100417043,-600826,129258992,9090590,20308879,100558739,-699216,124014508,8627950,19369161,96799691,-782294,131334102,9374423,21635635,101167379,-843335,132353387,9272057,21015982,103095506,-1030157
13,Hidalgo,101846652,5516642,41347319,55266605,-283912,108095494,5529435,45843736,57026439,-304116,112014629,5682814,47640644,59231173,-540003,113739921,6228060,46123223,62162581,-773943,119102881,6237363,48921267,64883768,-939517,127583727,6396489,54598650,67668962,-1080375,116941208,5886977,46778374,65564584,-1288727,122016762,6206461,46764983,70449488,-1404170,127763069,5614564,49883525,73811907,-1546927
14,Jalisco,480691228,30106575,149583744,305389417,-4388509,497892265,33643924,151242999,317279873,-4274532,515934099,33414547,159450979,328388595,-5320023,541923125,35240137,167980646,345794262,-7091920,563086303,38593416,172157134,360932034,-8596281,565269345,39776945,164058824,371338186,-9904610,522875260,34804493,148233293,350761612,-10924138,553824256,37719264,156165425,371736655,-11797088,582571223,40105354,165162178,390508674,-13204983
15,México,645873047,13553542,227372318,411320659,-6373473,672160727,12860432,237868896,426465989,-5034591,705374191,12203222,250221930,448553385,-5604346,745798032,13314905,260651190,478887973,-7056036,777648980,14107879,271048213,501693274,-9200386,791107753,13682941,269730041,519796968,-12102198,749835702,12147745,255321313,498047395,-15680751,815995183,13036139,297833839,521065184,-15939978,849968634,11437232,306934696,550263818,-18667112
16,Michoacán de Ocampo,178913205,18223754,37663772,123947287,-921607,185487609,17815257,41429926,127213371,-970945,186807162,17495622,38544094,131844854,-1077409,194920066,18630819,40285999,137544654,-1541406,202860978,19754174,43063106,141910495,-1866798,210089821,22390178,44882916,144959394,-2142668,197604811,21443767,38467510,140200645,-2507109,203854493,20920261,38723055,147008577,-2797400,212716168,23207202,39586806,153136544,-3214384
17,Morelos,90331248,3373361,30944463,56385920,-372496,91978004,3594900,30565781,58169265,-351942,95190729,3899377,31473731,60279729,-462108,96945223,3938742,31514266,62157854,-665638,99950488,4140008,33003403,63627544,-820466,96623598,3797115,30308800,63525672,-1007988,96302931,3730875,32786025,60981276,-1195245,101731068,4075232,35429531,63538493,-1312188,105715092,3843687,36982081,66352214,-1462891
18,Nayarit,41636126,4178457,8105612,29515419,-163362,45068805,4720965,9301828,31872575,-826562,46112683,4506433,9583200,32186956,-163906,53383074,4831674,15094835,33718353,-261788,51184418,5475526,12339165,33721644,-351917,53357818,5761012,12980703,35058089,-441985,51415634,5674485,11654882,34616334,-530068,52883939,5320128,11537273,36564568,-538030,53988351,5987696,11033020,37605862,-638227
19,Nuevo León,521232473,4988701,181954791,345983746,-11694765,551686259,4972891,193996774,365218999,-12502405,577370290,4618050,205245420,385426698,-17919878,619060079,4645491,226697468,407753134,-20036014,658001644,4976857,244095839,434165445,-25236497,666460037,4832951,245792376,446710179,-30875469,607015705,5606091,214152427,420408914,-33151727,659310675,5951784,242574323,445335895,-34551327,699134825,5428278,262539259,469532768,-38365480
20,Oaxaca,113735344,10067946,26058311,77756286,-147198,119158471,10640959,26417994,82278223,-178704,122149795,11167543,26072405,85175209,-265362,123051133,11374632,25208696,86868253,-400449,125067949,12195850,25160912,88204429,-493242,127710314,12674034,25974514,89613667,-551902,124150504,12189528,26492459,86364959,-896443,128960055,13036889,26947614,89765064,-789513,130972446,12809445,27735401,91282518,-854919
