Área Geográfica,,Créditos y urbanización,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1994,,,,,,,,,,,,,,,,,,1995,,,,,,,,,,,,,,,,,,1996,,,,,,,,,,,,,,,,,,1997,,,,,,,,,,,,,,,,,,1998,,,,,,,,,,,,,,,,,,1999,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,2001,,,,,,,,,,,,,,,,,,2002,,,,,,,,,,,,,,,,,,2003,,,,,,,,,,,,,,,,,,2004,,,,,,,,,,,,,,,,,,2005,,,,,,,,,,,,,,,,,,2006,,,,,,,,,,,,,,,,,,2007,,,,,,,,,,,,,,,,,,2008,,,,,,,,,,,,,,,,,,2009,,,,,,,,,,,,,,,,,,2010,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,
,,Créditos e inversión viv,,Urbanización,,,,,,,,,,,,,,,,Créditos e inversión viv,,Urbanización,,,,,,,,,,,,,,,,Créditos e inversión viv,,Urbanización,,,,,,,,,,,,,,,,Créditos e inversión viv,,Urbanización,,,,,,,,,,,,,,,,Créditos e inversión viv,,Urbanización,,,,,,,,,,,,,,,,Créditos e inversión viv,,Urbanización,,,,,,,,,,,,,,,,Créditos e inversión viv,,Urbanización,,,,,,,,,,,,,,,,Créditos e inversión viv,,Urbanización,,,,,,,,,,,,,,,,Créditos e inversión viv,,Urbanización,,,,,,,,,,,,,,,,Créditos e inversión viv,,Urbanización,,,,,,,,,,,,,,,,Créditos e inversión viv,,Urbanización,,,,,,,,,,,,,,,,Créditos e inversión viv,,Urbanización,,,,,,,,,,,,,,,,Créditos e inversión viv,,Urbanización,,,,,,,,,,,,,,,,Créditos e inversión viv,,Urbanización,,,,,,,,,,,,,,,,Créditos e inversión viv,,Urbanización,,,,,,,,,,,,,,,,Créditos e inversión viv,,Urbanización,,,,,,,,,,,,,,,,Créditos e inversión viv,,Urbanización,,,,,,,,,,,,,,,,Créditos e inversión viv,,Urbanización,,,,,,,,,,,,,,,,Créditos e inversión viv,,Urbanización,,,,,,,,,,,,,,,,Créditos e inversión viv,,Urbanización,,,,,,,,,,,,,,,,Créditos e inversión viv,,Urbanización,,,,,,,,,,,,,,,
Clave,Nombre,Créditos en programas de vivienda,Inversión ejercida en programas de vivienda (miles de pesos),Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Créditos en programas de vivienda,Inversión ejercida en programas de vivienda (miles de pesos),Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Créditos en programas de vivienda,Inversión ejercida en programas de vivienda (miles de pesos),Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Créditos en programas de vivienda,Inversión ejercida en programas de vivienda (miles de pesos),Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Créditos en programas de vivienda,Inversión ejercida en programas de vivienda (miles de pesos),Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Créditos en programas de vivienda,Inversión ejercida en programas de vivienda (miles de pesos),Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Créditos en programas de vivienda,Inversión ejercida en programas de vivienda (miles de pesos),Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Créditos en programas de vivienda,Inversión ejercida en programas de vivienda (miles de pesos),Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Créditos en programas de vivienda,Inversión ejercida en programas de vivienda (miles de pesos),Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Créditos en programas de vivienda,Inversión ejercida en programas de vivienda (miles de pesos),Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Créditos en programas de vivienda,Inversión ejercida en programas de vivienda (miles de pesos),Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Créditos en programas de vivienda,Inversión ejercida en programas de vivienda (miles de pesos),Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Créditos en programas de vivienda,Inversión ejercida en programas de vivienda (miles de pesos),Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Créditos en programas de vivienda,Inversión ejercida en programas de vivienda (miles de pesos),Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Créditos en programas de vivienda,Inversión ejercida en programas de vivienda (miles de pesos),Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Créditos en programas de vivienda,Inversión ejercida en programas de vivienda (miles de pesos),Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Créditos en programas de vivienda,Inversión ejercida en programas de vivienda (miles de pesos),Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Créditos en programas de vivienda,Inversión ejercida en programas de vivienda (miles de pesos),Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Créditos en programas de vivienda,Inversión ejercida en programas de vivienda (miles de pesos),Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Créditos en programas de vivienda,Inversión ejercida en programas de vivienda (miles de pesos),Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Créditos en programas de vivienda,Inversión ejercida en programas de vivienda (miles de pesos),Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/
01,Aguascalientes,19536,367932,395,ND,ND,ND,241,172332,282,282,282,192172,926,47,104,463,438,168,13708,352475,408,ND,ND,ND,242,186116,285,285,285,207598,935,82,121,458,436,186,14755,357030,413,ND,ND,ND,253,180657,347,241,241,210315,935,81,106,459,438,186,6679,339968,413,ND,ND,ND,253,187622,347,241,241,225666,937,12,219,459,438,186,8377,418893,411,ND,ND,ND,257,187596,348,308,308,234131,1338,16,84,458,438,142,12712,649072,427,ND,ND,ND,248,193901,352,291,291,246017,1342,48,192,458,438,142,10072,875419,430,1,1643,1,248,199651,352,292,292,262580,1343,48,190,458,438,142,18928,904545,430,1,1643,1,248,207328,352,292,292,274774,1453,49,162,458,438,142,20246,1342692,427,2,38,1,248,240747,352,292,292,286098,1453,22,98,457,437,141,21683,1958022,429,2,38,1,280,244968,363,312,312,300844,1453,24,102,457,437,128,20187,2212152,426,2,38,1,280,253854,367,313,313,317193,1453,26,202,455,436,131,20278,2417197,342,2,38,1,179,266092,220,313,313,332950,1461,29,233,456,437,132,20663,3098872,ND,ND,ND,ND,ND,ND,ND,ND,ND,348112,1799,22,177,456,437,133,31711,2892372,ND,ND,ND,ND,ND,76354,ND,ND,ND,363611,1623,115,74,456,437,133,22291,3146495,ND,ND,ND,ND,337,69095,424,ND,ND,373882,1614,162,132,467,437,133,23773,3469042,ND,ND,ND,ND,351,296583,463,379,379,378352,1614,180,162,467,427,123,22212,3736898,ND,ND,ND,ND,358,322696,470,379,403,388478,1614,203,172,467,435,132,19580,3929718,ND,ND,ND,ND,470,336710,481,403,417,399477,1771,225,213,467,437,132,21598,4094461,464,1,18,NS,ND,ND,ND,417,422,411204,1772,261,220,467,434,132,20349,4060976,358,1,18,NS,ND,ND,ND,427,422,422341,1778,235,203,467,435,132,21379,4754582,245,1,19,1,ND,ND,ND,504,522,433656,1783,ND,ND,467,435,132
02,Baja California,9590,591993,356,ND,ND,ND,ND,413365,29,ND,18,546863,1104,ND,ND,184,174,49,9250,757392,355,ND,ND,ND,ND,454423,25,ND,11,581621,1106,ND,ND,184,174,88,7908,761200,369,ND,ND,ND,204,523528,201,15,14,596048,3009,ND,ND,184,174,69,8454,793603,373,ND,ND,ND,27,537401,52,ND,ND,622736,3008,39,20,190,135,88,10090,1048933,379,ND,ND,ND,29,550219,29,ND,ND,670893,3009,ND,ND,188,135,94,13838,1647024,437,ND,ND,ND,243,562152,234,ND,ND,697803,3010,ND,ND,188,135,94,17515,3139623,255,19,8744,224,243,582619,235,ND,ND,730363,3010,ND,ND,188,135,79,17304,4101790,256,19,8744,195,256,616422,239,13,13,761872,ND,ND,ND,188,135,2200,26306,4702156,256,19,8744,204,259,670710,242,13,13,791696,2941,ND,ND,188,135,2380,30731,6455874,303,37,10560,175,232,712473,270,14,14,835457,2942,ND,ND,188,135,2210,38119,7747550,385,37,9004,188,233,755296,271,14,14,872806,2954,26,24,188,135,2214,31885,8341336,338,34,8279,182,200,853608,282,16,43,917692,2962,ND,ND,188,135,2107,37551,10488798,6889,34,8797,230,200,847167,282,17,51,963209,3100,176,150,188,135,2015,35427,8855080,6934,25,8903,202,202,939595,250,17,13,1006987,3109,343,33,188,135,1786,49646,11442033,6291,26,9037,201,195,996935,250,18,14,1044628,3053,188,27,188,135,2045,43249,10772636,6291,26,9037,202,195,1032059,250,18,14,1057902,3056,223,31,188,135,2012,46262,10629730,6385,30,12056,195,196,1063677,251,20,15,1068414,3056,262,98,188,135,1852,52810,10529716,6515,31,12156,201,192,1087650,251,22,17,1096278,3624,298,106,188,135,1973,56867,10296244,6628,46,12202,210,ND,ND,ND,26,18,1124523,3626,96,107,188,135,1986,54613,8630117,6657,31,12156,212,ND,ND,ND,27,19,1149356,3648,286,116,188,135,2084,51455,9385690,6719,31,12156,220,ND,ND,ND,27,19,1168513,3659,ND,ND,177,171,6270
03,Baja California Sur,2253,79668,171,ND,ND,ND,120,87114,139,10,10,91079,730,7,ND,43,25,5,1637,87619,171,ND,ND,ND,120,90440,139,10,10,94626,743,7,ND,41,25,5,3821,147661,167,ND,ND,ND,120,93926,139,10,10,98408,1369,7,ND,35,26,18,2730,116514,173,ND,ND,ND,107,97820,112,12,15,103915,1312,21,ND,35,26,17,1900,215928,187,ND,ND,ND,102,101050,112,12,17,110251,1314,29,ND,35,26,21,2921,346179,188,ND,ND,ND,112,107238,113,14,17,119961,1321,96,32,35,26,8,4206,461624,191,ND,ND,ND,112,112351,114,14,20,127798,1323,99,ND,35,26,2,4885,516914,192,ND,ND,ND,112,117221,114,14,20,135161,1961,ND,ND,35,ND,2,4480,786450,174,ND,ND,ND,105,121639,106,14,20,146029,1961,ND,ND,35,25,2,6274,1139018,169,1,0,0,105,125335,106,15,13,155218,1961,ND,ND,60,31,2,6023,1778438,147,ND,ND,ND,93,122626,93,12,12,172101,1962,ND,ND,60,31,2,5342,1954859,172,1,ND,ND,98,129510,89,ND,ND,183870,1964,ND,ND,60,31,2,7405,2420005,114,ND,ND,ND,73,107306,73,15,15,192568,1458,ND,ND,60,31,3,6413,1619246,61,16,275,6,106,129421,106,9,9,205893,1459,ND,ND,60,31,2,12304,3646914,132,16,275,6,106,191782,106,20,20,219354,1430,ND,ND,60,31,2,11306,2684190,110,16,215,6,75,121134,78,14,16,226562,1434,137,15,60,31,2,12113,2670143,111,16,216,6,74,115812,78,15,17,232236,1436,109,64,60,31,1,10906,2810095,138,17,215,6,102,187528,106,20,22,240134,2341,156,81,60,31,1,15640,2484434,122,19,215,6,ND,ND,ND,15,17,247686,2341,200,71,55,31,2,16117,2487750,158,19,215,7,ND,ND,ND,21,22,256243,1960,211,61,55,31,2,13754,2669615,186,19,211,7,ND,ND,ND,22,23,263646,1961,ND,ND,68,39,3
04,Campeche,16420,180509,405,ND,ND,ND,218,101385,218,4,4,100641,217,101,18,0,0,0,5727,106399,444,ND,ND,ND,222,101048,225,4,4,107196,263,93,12,0,0,0,2532,100794,471,ND,ND,ND,252,109291,ND,4,4,110395,266,109,49,0,0,0,5023,162291,497,ND,ND,ND,281,120682,280,6,6,113115,268,116,82,0,0,0,10308,116414,524,ND,ND,ND,293,121755,300,17,17,151357,279,202,114,0,0,0,4687,179624,542,ND,ND,ND,305,128225,314,23,23,117603,271,169,112,0,0,0,25283,415189,554,4,325,1,316,130446,338,23,23,159214,292,186,159,0,0,0,17268,408431,577,3,45,1,333,134245,379,23,23,166110,346,244,135,0,0,0,17104,443850,606,3,45,1,343,135553,415,23,23,175142,1362,253,127,0,0,0,3731,565438,621,3,45,1,349,137946,423,23,23,182118,1251,249,127,0,0,0,7306,679937,653,3,45,0,362,155778,444,23,23,192138,1272,268,174,0,0,0,7981,772501,664,3,45,0,363,159832,447,23,23,201218,1272,281,176,0,0,0,7976,1101978,690,2,45,0,383,166203,457,23,23,210768,1321,281,179,0,0,0,10307,818469,707,2,45,0,413,174550,459,25,25,218650,1321,308,191,0,0,0,19810,1136418,707,2,45,0,414,174625,459,25,25,229835,1407,321,197,0,0,0,24286,1368625,694,1,20,0,425,184106,424,25,25,236164,1309,ND,ND,0,0,0,19605,1417154,703,1,13,NS,428,186836,427,25,25,240451,1233,265,119,0,0,0,21433,1510719,710,1,13,NS,442,194843,445,25,25,250614,1616,404,182,0,0,0,13176,1799252,730,1,13,NS,ND,ND,ND,25,25,259598,1616,412,185,0,0,0,12522,1692153,739,1,13,NS,ND,ND,ND,25,25,273876,1617,414,186,0,0,0,13764,2182766,750,1,13,NS,ND,ND,ND,25,25,291664,1621,ND,ND,0,0,0
