Área Geográfica,,Vehículos registrados (Vehículos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo,Clase de vehículo
Clave,Nombre,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
18,Nayarit,34249,35158,40993,42059,53265,54431,55001,58488,60695,63145,64476,70749,72859,80017,77107,88616,97429,100985,119650,107973,118177,138186,160290,159730,203966,234897,259769,271408,296467,309753,327257,344019,357431,370302,380870,387063
19,Nuevo León,264368,307312,299466,306338,347032,366631,382050,397753,414999,443406,473704,520493,552130,631201,665361,664475,686011,721871,772219,830879,952866,1134033,1248474,1336726,1455463,1451581,1605120,1743646,1812944,1890350,1975586,2084551,2183614,2297443,1797854,1865729
20,Oaxaca,68997,81560,85794,93108,80897,75575,78742,84216,91502,100119,111583,122476,127152,132918,134356,123467,129031,158036,166263,174398,184556,220228,270916,287696,243231,284563,260788,294396,308847,356439,383385,410571,436995,459248,491863,513339
21,Puebla,196445,228030,239249,275423,284043,295252,303042,294383,306984,332950,355022,389966,409070,331840,532952,386052,402092,431931,427038,448769,523127,581218,604097,624306,703813,751523,863728,970154,1065016,1138679,1207576,1274347,1334844,1351836,1315969,1366819
22,Querétaro,42255,46300,49473,52643,54435,57711,59791,61709,64648,80064,91631,100688,105262,128910,157330,140961,172128,178440,200132,201219,231004,266288,298504,325081,251256,271896,296942,329617,395483,426844,458836,469595,506714,503222,574129,512754
23,Quintana Roo,16640,21714,22362,24662,25345,27281,28516,29738,32800,40501,50418,55254,63102,72701,58582,70286,112821,121778,80725,104539,142093,139661,122894,119925,188329,224246,307823,358642,400961,427389,452198,477732,510952,544365,587888,634906
24,San Luis Potosí,80309,89974,96846,101749,106849,112754,115070,117156,120782,134228,147543,161879,169758,174776,206145,219734,234944,249601,278095,295683,330168,403958,440586,466055,485313,547556,611205,691005,744984,776561,804579,837275,873672,920466,962276,1015343
25,Sinaloa,110677,120393,122477,130907,139617,148198,217768,224120,230556,240998,251592,276295,283907,314690,323727,349378,298471,285688,320788,359467,386732,527086,577708,521294,537275,573867,677608,753206,818547,854368,874178,921540,981918,1038837,1099123,1137857
26,Sonora,176518,182208,190093,198548,202976,221454,228846,238641,250631,271892,299392,328918,344101,350114,354960,145456,159335,279491,238317,354696,514396,566820,662100,706384,804810,599007,709713,798405,855110,889176,928336,891539,744447,779137,834881,850974
27,Tabasco,34762,44755,47689,54886,60957,66436,69275,76888,85928,96322,101991,111996,116589,167419,160815,192741,136149,149600,157638,179007,187642,207108,218025,217777,224046,250576,287137,322139,358228,388266,412009,424349,455002,483749,513433,546970
28,Tamaulipas,245916,266205,288940,307698,327021,342672,357557,367961,380996,409005,440954,484507,498786,376319,423538,479854,511131,551036,624477,647492,734129,861147,1104059,961311,996448,971514,1054922,876005,892820,932874,974099,1011735,1038216,1074399,1108978,1132124
29,Tlaxcala,23218,25982,29911,34032,39272,40920,42307,46273,47655,62741,64688,71020,86682,57497,44434,58554,60922,64161,80459,86215,96942,101056,113018,108612,124732,130649,182229,184388,192799,207279,212363,227680,249495,276973,336104,397124
30,Veracruz de Ignacio de la Llave,227171,248547,271323,304836,322101,336378,345924,354400,370631,397158,431008,473503,490273,471160,493121,400793,441471,496026,510848,557261,611618,672891,735328,800799,930605,1004913,1138977,1244242,1316781,1420654,1506327,1595319,1650671,1733364,1797417,1857852
31,Yucatán,76404,79229,81378,83293,86616,91475,100529,106076,118454,127849,147301,161057,167627,144928,165462,160504,134398,132085,154417,175384,214190,238881,265907,295795,337669,344530,342447,382235,422204,492699,513792,546483,575850,605560,638250,674366
32,Zacatecas,33776,36002,45067,51394,58177,60335,61535,69450,82315,121485,142670,156782,157840,188887,180258,183955,193330,208648,216747,223762,266655,335023,348018,353833,361558,391107,403891,424157,468855,490875,504833,492190,439592,421768,392042,403909
33,Extranjero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,No especificada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
