Área Geográfica,,Indicadores estratégicos de ocupación y empleo en el estado (2005-2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,,,,,,,,,,,2006,,,,,,,,,,,2007,,,,,,,,,,,2008,,,,,,,,,,,2009,,,,,,,,,,,2010,,,,,,,,,,,2011,,,,,,,,,,,2012,,,,,,,,,,,2013,,,,,,,,,,,2014,,,,,,,,,,
,,Ind ocupacion y empleo,,,,,,,,,,,Ind ocupacion y empleo,,,,,,,,,,,Ind ocupacion y empleo,,,,,,,,,,,Ind ocupacion y empleo,,,,,,,,,,,Ind ocupacion y empleo,,,,,,,,,,,Ind ocupacion y empleo,,,,,,,,,,,Ind ocupacion y empleo,,,,,,,,,,,Ind ocupacion y empleo,,,,,,,,,,,Ind ocupacion y empleo,,,,,,,,,,,Ind ocupacion y empleo,,,,,,,,,,
Clave,Nombre,Población de 14 y más años,Población de 14 y más años económicamente activa,Ocupada,Ocupada (hombres),Ocupada (mujeres),Desocupada,Desocupada (hombres),Desocupada (mujeres),Población de 14 y más años no económicamente activa,Disponible,No disponible,Población de 14 y más años,Población de 14 y más años económicamente activa,Ocupada,Ocupada (hombres),Ocupada (mujeres),Desocupada,Desocupada (hombres),Desocupada (mujeres),Población de 14 y más años no económicamente activa,Disponible,No disponible,Población de 14 y más años,Población de 14 y más años económicamente activa,Ocupada,Ocupada (hombres),Ocupada (mujeres),Desocupada,Desocupada (hombres),Desocupada (mujeres),Población de 14 y más años no económicamente activa,Disponible,No disponible,Población de 14 y más años,Población de 14 y más años económicamente activa,Ocupada,Ocupada (hombres),Ocupada (mujeres),Desocupada,Desocupada (hombres),Desocupada (mujeres),Población de 14 y más años no económicamente activa,Disponible,No disponible,Población de 14 y más años,Población de 14 y más años económicamente activa,Ocupada,Ocupada (hombres),Ocupada (mujeres),Desocupada,Desocupada (hombres),Desocupada (mujeres),Población de 14 y más años no económicamente activa,Disponible,No disponible,Población de 14 y más años,Población de 14 y más años económicamente activa,Ocupada,Ocupada (hombres),Ocupada (mujeres),Desocupada,Desocupada (hombres),Desocupada (mujeres),Población de 14 y más años no económicamente activa,Disponible,No disponible,Población de 14 y más años,Población de 14 y más años económicamente activa,Ocupada,Ocupada (hombres),Ocupada (mujeres),Desocupada,Desocupada (hombres),Desocupada (mujeres),Población de 14 y más años no económicamente activa,Disponible,No disponible,Población de 14 y más años,Población de 14 y más años económicamente activa,Ocupada,Ocupada (hombres),Ocupada (mujeres),Desocupada,Desocupada (hombres),Desocupada (mujeres),Población de 14 y más años no económicamente activa,Disponible,No disponible,Población de 14 y más años,Población de 14 y más años económicamente activa,Ocupada,Ocupada (hombres),Ocupada (mujeres),Desocupada,Desocupada (hombres),Desocupada (mujeres),Población de 14 y más años no económicamente activa,Disponible,No disponible,Población de 14 y más años,Población de 14 y más años económicamente activa,Ocupada,Ocupada (hombres),Ocupada (mujeres),Desocupada,Desocupada (hombres),Desocupada (mujeres),Población de 14 y más años no económicamente activa,Disponible,No disponible
09,Ciudad de México,6916894,4014437,3786575,2275193,1511382,227862,124423,103439,2902457,390214,2512243,6817795,4142256,3916031,2267122,1648909,226225,124930,101295,2675539,446408,2229131,6854171,4212334,3972346,2276299,1696047,239988,130303,109685,2641837,412067,2229770,6904026,4195733,3972930,2289940,1682990,222803,123252,99551,2708293,391549,2316744,7007862,4140635,3907773,2222095,1685678,232862,123204,109658,2867227,435779,2431448,7157281,4237783,3970672,2270305,1700367,267111,158439,108672,2919498,489538,2429960,7105240,4211470,3940725,2261325,1679400,270745,161657,109088,2893770,530119,2363651,7023961,4341200,4076965,2302550,1774415,264235,150286,113949,2682761,446112,2236649,7141153,4405688,4123611,2337811,1785800,282077,165230,116847,2735465,478725,2256740,7185782,4304579,4038317,2226709,1811608,266262,161654,104608,2881203,563521,2317682
10,Durango,1059694,574609,551024,373818,177206,23585,15123,8462,485085,79687,405398,1074076,572534,549396,374433,174963,23138,16864,6274,501542,64797,436745,1083241,587757,559152,375314,183838,28605,17475,11130,495484,110336,385148,1098067,601417,576578,383867,192711,24839,17401,7438,496650,95843,400807,1101205,598850,559944,371908,188036,38906,26200,12706,502355,95564,406791,1163817,632022,597711,391549,206162,34311,23334,10977,531795,105423,426372,1222622,649703,604543,405388,199155,45160,30775,14385,572919,111597,461322,1238757,701419,665306,433586,231720,36113,24493,11620,537338,140734,396604,1252457,704621,662882,438495,224387,41739,28612,13127,547836,154497,393339,1270891,717554,678038,439478,238560,39516,23820,15696,553337,133466,419871
11,Guanajuato,3335728,1906495,1817241,1130891,686350,89254,58973,30281,1429233,202568,1226665,3369216,1888363,1824387,1138360,686027,63976,44518,19458,1480853,241341,1239512,3462971,1928798,1853069,1167523,685546,75729,55448,20281,1534173,323474,1210699,3541986,1961695,1873512,1157319,716193,88183,64042,24141,1580291,373908,1206383,3530634,1970908,1855945,1136881,719064,114963,73692,41271,1559726,410019,1149707,3963807,2224240,2101728,1271401,830327,122512,82305,40207,1739567,490409,1249158,4043597,2275696,2129753,1262288,867465,145943,100394,45549,1767901,488193,1279708,4112619,2374330,2214221,1349748,864473,160109,107717,52392,1738289,514188,1224101,4211961,2431977,2280654,1376967,903687,151323,95823,55500,1779984,399117,1380867,4189873,2484056,2353990,1440804,913186,130066,77951,52115,1705817,348225,1357592
12,Guerrero,2059871,1070214,1054707,683429,371278,15507,11087,4420,989657,104211,885446,2079744,1094945,1082799,650775,432024,12146,9188,2958,984799,68337,916462,2071415,1159860,1147439,703451,443988,12421,7290,5131,911555,66571,844984,2113799,1220287,1204612,719223,485389,15675,7695,7980,893512,97665,795847,2152503,1197644,1178007,714681,463326,19637,14202,5435,954859,73470,881389,2361166,1359395,1328158,785866,542292,31237,18803,12434,1001771,79061,922710,2410169,1367579,1339229,793784,545445,28350,17548,10802,1042590,103877,938713,2449866,1394986,1359920,828704,531216,35066,23247,11819,1054880,72169,982711,2481112,1377571,1349288,835271,514017,28283,17505,10778,1103541,89163,1014378,2495965,1376412,1348371,841386,506985,28041,16043,11998,1119553,81275,1038278
13,Hidalgo,1642437,960803,929497,592412,337085,31306,16731,14575,681634,99842,581792,1673167,953007,919712,585564,334148,33295,14368,18927,720160,118667,601493,1709945,949143,905383,569644,335739,43760,25554,18206,760802,124761,636041,1697436,954791,919075,557769,361306,35716,22541,13175,742645,115704,626941,1744964,968709,921084,595581,325503,47625,25692,21933,776255,119613,656642,1895386,1050226,1006896,648412,358484,43330,27021,16309,845160,138433,706727,1956156,1087616,1037167,647640,389527,50449,31469,18980,868540,159585,708955,1999186,1095013,1045900,673415,372485,49113,27816,21297,904173,159033,745140,2051476,1196070,1131032,707481,423551,65038,45139,19899,855406,133835,721571,2065844,1178207,1124754,708698,416056,53453,31480,21973,887637,78699,808938
14,Jalisco,4771263,2943909,2832040,1728917,1103123,111869,70876,40993,1827354,184422,1642932,4800664,2972099,2855911,1747650,1108261,116188,74762,41426,1828565,208435,1620130,4874803,2983985,2879891,1776694,1103197,104094,59611,44483,1890818,257466,1633352,4964204,3105361,2994551,1834755,1159796,110810,62848,47962,1858843,250068,1608775,5048116,3099340,2930721,1786384,1144337,168619,118844,49775,1948776,303153,1645623,5366976,3314034,3143064,1912867,1230197,170970,120249,50721,2052942,311057,1741885,5511319,3379551,3215789,1956921,1258868,163762,101814,61948,2131768,313005,1818763,5633393,3470064,3316131,2018707,1297424,153933,100604,53329,2163329,327040,1836289,5676659,3480830,3328450,2013940,1314510,152380,87655,64725,2195829,294046,1901783,5777467,3490907,3311516,2002510,1309006,179391,113856,65535,2286560,292187,1994373
15,México,10004971,5789188,5470987,3566287,1904700,318201,186296,131905,4215783,387837,3827946,10112020,5896942,5651255,3562444,2088811,245687,160626,85061,4215078,399390,3815688,10336631,6058377,5700767,3593926,2106841,357610,191113,166497,4278254,510001,3768253,10540209,6125598,5777299,3625756,2151543,348299,214878,133421,4414611,560016,3854595,10880976,6161561,5761406,3676837,2084569,400155,254540,145615,4719415,605383,4114032,11400197,6540808,6087039,3850066,2236973,453769,305336,148433,4859389,476975,4382414,11677358,6706111,6297295,4074927,2222368,408816,298023,110793,4971247,502323,4468924,12025425,6936740,6506690,4111733,2394957,430050,287784,142266,5088685,506867,4581818,12227916,6917947,6486591,4134258,2352333,431356,262368,168988,5309969,607702,4702267,12498453,7337583,6911420,4322529,2588891,426163,279245,146918,5160870,533859,4627011
16,Michoacán de Ocampo,2771283,1559526,1524505,968501,556004,35021,18874,16147,1211757,303462,908295,2810639,1605488,1558156,962539,595617,47332,32898,14434,1205151,281738,923413,2813287,1581605,1536871,959199,577672,44734,27127,17607,1231682,345390,886292,2803234,1601932,1555995,968726,587269,45937,25751,20186,1201302,284268,917034,2791159,1606399,1554720,970719,584001,51679,35955,15724,1184760,293248,891512,3163741,1770549,1715505,1086566,628939,55044,33272,21772,1393192,278173,1115019,3247386,1796419,1740803,1140041,600762,55616,45003,10613,1450967,284739,1166228,3268575,1898864,1835555,1178580,656975,63309,43353,19956,1369711,347718,1021993,3251498,1906420,1835715,1141166,694549,70705,45029,25676,1345078,354570,990508,3297371,1896026,1833849,1159340,674509,62177,36621,25556,1401345,343330,1058015
17,Morelos,1158850,669291,651011,386514,264497,18280,9950,8330,489559,60081,429478,1187958,682619,665682,406748,258934,16937,12090,4847,505339,67586,437753,1193085,698014,674075,406578,267497,23939,12834,11105,495071,74665,420406,1212554,714875,692733,411837,280896,22142,14435,7707,497679,72212,425467,1251817,720771,695267,409960,285307,25504,16938,8566,531046,105169,425877,1356647,796267,763076,458973,304103,33191,18836,14355,560380,115506,444874,1379744,786922,758951,461538,297413,27971,20596,7375,592822,114692,478130,1389140,802315,776315,467523,308792,26000,17112,8888,586825,129873,456952,1403081,805611,772752,459404,313348,32859,21255,11604,597470,125086,472384,1433967,804715,775798,457020,318778,28917,16933,11984,629252,113464,515788
18,Nayarit,679513,421302,411236,256519,154717,10066,4569,5497,258211,46682,211529,681521,419574,407876,256672,151204,11698,6636,5062,261947,67952,193995,692460,422352,409710,255296,154414,12642,7128,5514,270108,69859,200249,693433,432326,418839,259264,159575,13487,8871,4616,261107,66955,194152,714066,440463,427020,264312,162708,13443,8458,4985,273603,82761,190842,809020,506648,488493,303346,185147,18155,10739,7416,302372,80307,222065,826933,519400,499696,312999,186697,19704,10978,8726,307533,83964,223569,848569,520527,494426,297302,197124,26101,16784,9317,328042,95214,232828,874412,554959,528312,312795,215517,26647,16582,10065,319453,84300,235153,874520,568751,539034,321173,217861,29717,16877,12840,305769,76671,229098
