Year,State_ID,State,Desocupada,Desocupada (hombres),Desocupada (mujeres),Disponible,No disponible,Ocupada,Ocupada (hombres),Ocupada (mujeres),PoblaciÃ³n de 14 y mÃ¡s aÃ±os,PoblaciÃ³n de 14 y mÃ¡s aÃ±os econÃ³micamente activa,PoblaciÃ³n de 14 y mÃ¡s aÃ±os no econÃ³micamente activa
2006,06,Colima,9806.0,6537.0,3269.0,23370.0,132317.0,255825.0,153120.0,102705.0,421318.0,265631.0,155687.0
2006,07,Chiapas,27926.0,18492.0,9434.0,224020.0,1056489.0,1525329.0,1104198.0,421131.0,2833764.0,1553255.0,1280509.0
2006,08,Chihuahua,39708.0,27433.0,12275.0,107360.0,929279.0,1320975.0,870871.0,450104.0,2397322.0,1360683.0,1036639.0
2006,09,Ciudad de MÃ©xico,226225.0,124930.0,101295.0,446408.0,2229131.0,3916031.0,2267122.0,1648909.0,6817795.0,4142256.0,2675539.0
2006,10,Durango,23138.0,16864.0,6274.0,64797.0,436745.0,549396.0,374433.0,174963.0,1074076.0,572534.0,501542.0
2006,11,Guanajuato,63976.0,44518.0,19458.0,241341.0,1239512.0,1824387.0,1138360.0,686027.0,3369216.0,1888363.0,1480853.0
2006,12,Guerrero,12146.0,9188.0,2958.0,68337.0,916462.0,1082799.0,650775.0,432024.0,2079744.0,1094945.0,984799.0
2006,13,Hidalgo,33295.0,14368.0,18927.0,118667.0,601493.0,919712.0,585564.0,334148.0,1673167.0,953007.0,720160.0
2006,14,Jalisco,116188.0,74762.0,41426.0,208435.0,1620130.0,2855911.0,1747650.0,1108261.0,4800664.0,2972099.0,1828565.0
2006,15,MÃ©xico,245687.0,160626.0,85061.0,399390.0,3815688.0,5651255.0,3562444.0,2088811.0,10112020.0,5896942.0,4215078.0
2006,16,MichoacÃ¡n de Ocampo,47332.0,32898.0,14434.0,281738.0,923413.0,1558156.0,962539.0,595617.0,2810639.0,1605488.0,1205151.0
2006,17,Morelos,16937.0,12090.0,4847.0,67586.0,437753.0,665682.0,406748.0,258934.0,1187958.0,682619.0,505339.0
2006,18,Nayarit,11698.0,6636.0,5062.0,67952.0,193995.0,407876.0,256672.0,151204.0,681521.0,419574.0,261947.0
2006,19,Nuevo LeÃ³n,89155.0,49126.0,40029.0,160684.0,1038133.0,1834913.0,1181710.0,653203.0,3122885.0,1924068.0,1198817.0
2006,20,Oaxaca,25008.0,17522.0,7486.0,194081.0,818217.0,1413761.0,839456.0,574305.0,2451067.0,1438769.0,1012298.0
2006,21,Puebla,82804.0,47038.0,35766.0,348847.0,1165329.0,2126347.0,1293936.0,832411.0,3723327.0,2209151.0,1514176.0
2006,22,QuerÃ©taro,32298.0,19358.0,12940.0,96979.0,371946.0,629147.0,384020.0,245127.0,1130370.0,661445.0,468925.0
2006,23,Quintana Roo,13439.0,7992.0,5447.0,33707.0,249310.0,532293.0,335632.0,196661.0,828749.0,545732.0,283017.0
2006,24,San Luis PotosÃ­,24033.0,13515.0,10518.0,118060.0,589716.0,957988.0,606883.0,351105.0,1689797.0,982021.0,707776.0
2006,25,Sinaloa,36601.0,20208.0,16393.0,198710.0,517020.0,1155445.0,730453.0,424992.0,1907776.0,1192046.0,715730.0
2006,26,Sonora,28940.0,15479.0,13461.0,78276.0,648172.0,990722.0,636149.0,354573.0,1746110.0,1019662.0,726448.0
2006,27,Tabasco,27627.0,19560.0,8067.0,132635.0,502920.0,745252.0,523880.0,221372.0,1408434.0,772879.0,635555.0
2006,28,Tamaulipas,51211.0,29230.0,21981.0,121382.0,759012.0,1272517.0,803044.0,469473.0,2204122.0,1323728.0,880394.0
2006,29,Tlaxcala,25491.0,13717.0,11774.0,77369.0,243409.0,411295.0,267141.0,144154.0,757564.0,436786.0,320778.0
2006,30,Veracruz de Ignacio de la Llave,67877.0,47710.0,20167.0,439344.0,1934048.0,2718634.0,1802756.0,915878.0,5159903.0,2786511.0,2373392.0
2006,31,YucatÃ¡n,18096.0,10475.0,7621.0,45495.0,476031.0,788505.0,495196.0,293309.0,1328127.0,806601.0,521526.0
2006,32,Zacatecas,18150.0,11626.0,6524.0,115965.0,337739.0,490117.0,320501.0,169616.0,961971.0,508267.0,453704.0
2007,01,Aguascalientes,24882.0,16903.0,7979.0,57173.0,267949.0,419082.0,258908.0,160174.0,769086.0,443964.0,325122.0
2007,02,Baja California,32627.0,21979.0,10648.0,53814.0,878608.0,1220971.0,772416.0,448555.0,2186020.0,1253598.0,932422.0
2007,03,Baja California Sur,4670.0,2969.0,1701.0,15280.0,129023.0,235284.0,154303.0,80981.0,384257.0,239954.0,144303.0
