Year,State_ID,State,Capacidad instalada de las plantas potabilizadoras en operaciÃ³n (litros por segundo) a/,Capacidad total de almacenamiento de las presas (millones de metros cÃºbicos) b/,Capacidad Ãºtil de almacenamiento de las presas (millones de metros cÃºbicos) b/,CrÃ©ditos en programas de vivienda,Fuentes de abastecimiento de agua a/,InversiÃ³n ejercida en programas de vivienda (miles de pesos),Jardines vecinales a/,Localidades con el servicio de drenaje y alcantarillado a/,Localidades con el servicio de energÃ­a elÃ©ctrica a/,Localidades con red de distribuciÃ³n de agua entubada a/,Parques de juegos infantiles a/,Plantas potabilizadoras de agua en operaciÃ³n a/,Sistemas de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Tomas domiciliarias de agua entubada a/,Tomas instaladas de energÃ­a elÃ©ctrica a/,Volumen anual utilizado de agua de las presas (millones de metros cÃºbicos) c/,Volumen suministrado anual de agua potable (millones de metros cÃºbicos) b/
1995,11,Guanajuato,ND,2655,1572,9498.0,422,549629.0,241,ND,4429,ND,ND,ND,ND,ND,540471,937088,ND,ND
1995,12,Guerrero,ND,2283,1349,40145.0,ND,283883.0,ND,58,2116,ND,ND,ND,ND,58,217186,523782,ND,ND
1995,13,Hidalgo,ND,1921,ND,27354.0,493,289447.0,38,157,1087,1031,6,ND,407,157,ND,130179,ND,ND
1995,14,Jalisco,ND,2529,1913,9131.0,847,768924.0,ND,ND,1460,ND,ND,ND,48,ND,1187321,1246786,973,ND
1995,15,MÃ©xico,ND,1314,ND,60374.0,66,666906.0,ND,ND,ND,ND,ND,ND,ND,ND,2073371,2197979,ND,ND
1995,16,MichoacÃ¡n de Ocampo,ND,ND,ND,4504.0,792,317481.0,ND,ND,2590,ND,ND,ND,58,ND,427567,876203,ND,ND
1995,17,Morelos,ND,54,48,3090.0,488,141503.0,346,ND,343,ND,122,ND,45,ND,179987,350285,ND,ND
1995,18,Nayarit,ND,7003,2606,7782.0,641,107339.0,ND,51,562,ND,ND,ND,24,51,125408,214678,ND,ND
1995,19,Nuevo LeÃ³n,ND,2412,1543,64323.0,89,1196736.0,ND,ND,916,ND,ND,ND,ND,ND,764191,859232,ND,ND
1995,20,Oaxaca,ND,12515,10996,23499.0,1702,131570.0,ND,ND,3210,1628,ND,ND,1628,189,331855,673416,8511,ND
1995,21,Puebla,ND,667,366,4780.0,1668,274491.0,76,430,ND,1242,32,ND,1250,442,632250,ND,1285,ND
1995,22,QuerÃ©taro,ND,ND,ND,3214.0,214,174701.0,ND,177,ND,383,ND,ND,160,177,183538,ND,ND,ND
1995,23,Quintana Roo,ND,0,0,13171.0,596,238961.0,176,6,669,258,82,ND,10,6,114016,166223,0,ND
1995,24,San Luis PotosÃ­,ND,161,137,18150.0,207,550110.0,ND,376,ND,ND,ND,ND,ND,376,276842,442353,74,ND
1995,25,Sinaloa,ND,22447,14370,10085.0,1037,555190.0,83,147,2588,1266,98,ND,935,147,483906,533639,8346,ND
1995,26,Sonora,ND,9365,5382,10473.0,834,770441.0,ND,86,3089,588,ND,ND,588,86,460730,471289,6988,ND
1995,27,Tabasco,ND,0,0,23691.0,405,181434.0,135,104,527,679,116,ND,356,104,237754,348224,0,ND
1995,28,Tamaulipas,ND,7431,7224,9635.0,762,668288.0,123,63,ND,974,23,ND,778,60,542977,ND,2125,ND
1995,29,Tlaxcala,0,78,54,2868.0,389,104057.0,0,235,439,450,0,0,305,235,ND,178462,20,0
1995,30,Veracruz de Ignacio de la Llave,ND,869,560,10447.0,960,661650.0,ND,203,ND,471,ND,ND,404,203,615114,ND,1270,ND
1995,31,YucatÃ¡n,ND,0,0,7016.0,606,397427.0,ND,3,571,449,ND,ND,480,10,321211,408891,0,ND
1995,32,Zacatecas,ND,754,605,4425.0,865,115008.0,ND,336,3510,916,ND,ND,778,325,241024,282992,215,ND
1996,01,Aguascalientes,ND,459,438,14755.0,413,357030.0,106,241,935,347,81,ND,253,241,180657,210315,186,ND
1996,02,Baja California,ND,184,174,7908.0,369,761200.0,ND,14,3009,201,ND,ND,204,15,523528,596048,69,ND
1996,03,Baja California Sur,ND,35,26,3821.0,167,147661.0,ND,10,1369,139,7,ND,120,10,93926,98408,18,ND
1996,04,Campeche,ND,0,0,2532.0,471,100794.0,49,4,266,ND,109,ND,252,4,109291,110395,0,ND
1996,05,Coahuila de Zaragoza,ND,8673,5956,6848.0,257,572603.0,ND,ND,758,ND,ND,ND,ND,27,454104,563303,284,ND
1996,06,Colima,0,0,0,3604.0,244,166791.0,196,65,152,205,41,0,205,65,132768,143190,90,0
