Year,State_ID,State,Capacidad instalada de las plantas potabilizadoras en operaciÃ³n (litros por segundo) a/,Capacidad total de almacenamiento de las presas (millones de metros cÃºbicos) b/,Capacidad Ãºtil de almacenamiento de las presas (millones de metros cÃºbicos) b/,CrÃ©ditos en programas de vivienda,Fuentes de abastecimiento de agua a/,InversiÃ³n ejercida en programas de vivienda (miles de pesos),Jardines vecinales a/,Localidades con el servicio de drenaje y alcantarillado a/,Localidades con el servicio de energÃ­a elÃ©ctrica a/,Localidades con red de distribuciÃ³n de agua entubada a/,Parques de juegos infantiles a/,Plantas potabilizadoras de agua en operaciÃ³n a/,Sistemas de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Tomas domiciliarias de agua entubada a/,Tomas instaladas de energÃ­a elÃ©ctrica a/,Volumen anual utilizado de agua de las presas (millones de metros cÃºbicos) c/,Volumen suministrado anual de agua potable (millones de metros cÃºbicos) b/
1999,19,Nuevo LeÃ³n,ND,ND,ND,18013.0,545,2647545.0,ND,ND,923,ND,ND,ND,ND,ND,837428,975958,ND,ND
1999,20,Oaxaca,ND,15010,10977,4052.0,1876,375274.0,41,217,6479,1762,18,ND,1762,217,473793,758880,8026,ND
1999,21,Puebla,ND,481,366,15549.0,2974,1309787.0,ND,848,ND,2037,ND,ND,2055,857,ND,ND,1421,ND
1999,22,QuerÃ©taro,ND,277,239,10822.0,270,1029671.0,ND,213,1535,ND,ND,ND,ND,213,ND,ND,ND,ND
1999,23,Quintana Roo,ND,0,0,4011.0,652,462503.0,457,6,ND,278,193,ND,262,16,160633,ND,0,ND
1999,24,San Luis PotosÃ­,ND,209,179,9197.0,921,1085164.0,ND,ND,ND,ND,ND,ND,1104,ND,326059,526300,113,ND
1999,25,Sinaloa,ND,22079,14786,15990.0,1227,2039197.0,ND,213,4319,1506,ND,ND,1073,213,565979,624236,6283,ND
1999,26,Sonora,ND,9386,7524,16525.0,890,2159082.0,ND,331,5378,ND,ND,ND,ND,331,ND,545405,4098,ND
1999,27,Tabasco,ND,0,0,16648.0,533,421411.0,182,130,439,925,145,ND,502,130,315588,330919,0,ND
1999,28,Tamaulipas,ND,9013,7154,15896.0,1158,2352194.0,173,51,ND,1140,18,ND,902,49,677980,ND,ND,ND
1999,29,Tlaxcala,0,79,46,2086.0,432,286848.0,ND,494,379,752,ND,0,318,ND,ND,188157,15,0
1999,30,Veracruz de Ignacio de la Llave,ND,878,608,13779.0,66654,1461028.0,ND,315,4212,1872,ND,ND,1553,316,883205,1504057,708,ND
1999,31,YucatÃ¡n,ND,0,0,7212.0,683,992855.0,ND,3,1417,645,ND,ND,632,10,338202,440782,0,ND
1999,32,Zacatecas,ND,755,606,2887.0,1150,320769.0,ND,427,3786,1146,ND,ND,1045,430,280721,376542,279,ND
2000,01,Aguascalientes,1643,458,438,10072.0,430,875419.0,190,292,1343,352,48,1,248,292,199651,262580,142,1
2000,02,Baja California,8744,188,135,17515.0,255,3139623.0,ND,ND,3010,235,ND,19,243,ND,582619,730363,79,224
2000,03,Baja California Sur,ND,35,26,4206.0,191,461624.0,ND,20,1323,114,99,ND,112,14,112351,127798,2,ND
2000,04,Campeche,325,0,0,25283.0,554,415189.0,159,23,292,338,186,4,316,23,130446,159214,0,1
2000,05,Coahuila de Zaragoza,ND,8651,5450,14688.0,326,2180427.0,ND,ND,345,ND,ND,ND,ND,ND,553674,224522,1022,ND
2000,06,Colima,0,0,0,4613.0,244,571990.0,132,69,ND,210,63,0,210,69,151079,164950,262,0
2000,07,Chiapas,ND,36868,22932,7349.0,18122,771061.0,17,349,336,3431,124,ND,3431,349,414093,36599,82236,ND
2000,08,Chihuahua,357,1490,1247,32190.0,ND,3448676.0,ND,218,722,1041,ND,2,979,206,736901,828937,1842,7
2000,09,Ciudad de MÃ©xico,3261,3,ND,45629.0,413,4282109.0,584,ND,ND,ND,626,32,ND,ND,1112666,2454248,ND,67
2000,10,Durango,22,4590,4005,17546.0,7676,778645.0,92,1115,1034,2105,17,12,159,1115,306926,362713,1525,0
2000,11,Guanajuato,335,1909,1130,18255.0,536,2378869.0,ND,205,6990,203,ND,7,ND,ND,667754,1152576,930,9
2000,12,Guerrero,2460,ND,3318,2240.0,8293,345991.0,ND,181,2974,1874,ND,4,1874,181,281384,ND,ND,55
2000,13,Hidalgo,ND,1743,1368,6910.0,5968,1032938.0,ND,ND,1253,ND,ND,ND,ND,ND,ND,444541,293,ND
2000,14,Jalisco,14000,ND,ND,28973.0,1613,3442886.0,ND,ND,1561,ND,ND,3,ND,ND,1154696,1527578,ND,197
2000,15,MÃ©xico,24060,ND,ND,30435.0,176,9199756.0,ND,ND,ND,ND,ND,5,ND,ND,1730334,2511480,ND,ND
2000,16,MichoacÃ¡n de Ocampo,1028,14852,11570,13231.0,3102,1192425.0,ND,ND,ND,16,ND,3,1,ND,135594,1019183,21974,31
2000,17,Morelos,ND,ND,ND,4106.0,ND,602144.0,ND,ND,ND,ND,146,ND,ND,ND,ND,412847,ND,ND
2000,18,Nayarit,ND,5585,2607,3054.0,ND,455140.0,ND,69,574,40,ND,ND,29,69,154386,272722,ND,ND
2000,19,Nuevo LeÃ³n,ND,2220,484,19825.0,578,3257352.0,ND,ND,923,ND,ND,ND,ND,ND,871838,1013341,181,ND
2000,20,Oaxaca,1150,15010,10977,6244.0,1900,587524.0,47,225,6503,1776,37,5,1776,225,473793,766399,7978,18
2000,21,Puebla,ND,466,359,9354.0,3004,1232686.0,ND,852,ND,2064,ND,ND,2103,862,738676,ND,955,ND
2000,22,QuerÃ©taro,30,277,239,11226.0,271,1235890.0,46,214,1545,563,14,2,168,214,269286,ND,ND,ND
2000,23,Quintana Roo,ND,0,0,6313.0,669,1188240.0,457,6,ND,278,193,ND,263,16,174876,ND,0,ND
2000,24,San Luis PotosÃ­,1085,209,179,11002.0,907,1508045.0,ND,ND,2083,ND,ND,8,815,ND,ND,550258,113,ND
2000,25,Sinaloa,5537,22079,14786,19871.0,1252,2864578.0,49,214,4812,1534,142,123,1091,234,587547,646784,7068,173
2000,26,Sonora,3192,9386,7516,20360.0,895,3097209.0,ND,333,5378,ND,ND,34,ND,333,ND,564606,4998,ND
2000,27,Tabasco,4668,0,0,27056.0,608,483989.0,80,148,990,1047,177,27,593,148,326967,416034,0,147
2000,28,Tamaulipas,ND,13968,8570,21964.0,981,3177161.0,162,51,ND,1129,83,ND,901,49,699550,804778,ND,ND
2000,29,Tlaxcala,0,80,46,6396.0,ND,373729.0,ND,494,ND,752,ND,0,318,ND,ND,192172,16,0
2000,30,Veracruz de Ignacio de la Llave,6183,878,608,16662.0,65725,2216770.0,ND,315,4432,2226,ND,9,1553,316,953782,1574748,122,151
2000,31,YucatÃ¡n,ND,0,0,8858.0,688,1316052.0,ND,3,1417,645,ND,ND,632,10,341190,464624,0,ND
2000,32,Zacatecas,ND,755,606,4261.0,1201,333872.0,ND,439,3786,1153,ND,ND,1064,436,291894,391892,184,ND
2001,01,Aguascalientes,1643,458,438,18928.0,430,904545.0,162,292,1453,352,49,1,248,292,207328,274774,142,1
2001,02,Baja California,8744,188,135,17304.0,256,4101790.0,ND,13,ND,239,ND,19,256,13,616422,761872,2200,195
2001,03,Baja California Sur,ND,35,ND,4885.0,192,516914.0,ND,20,1961,114,ND,ND,112,14,117221,135161,2,ND
2001,04,Campeche,45,0,0,17268.0,577,408431.0,135,23,346,379,244,3,333,23,134245,166110,0,1
2001,05,Coahuila de Zaragoza,1525,7926,5450,15769.0,455,2194992.0,ND,56,709,ND,ND,5,ND,22,510003,652199,812,48
2001,06,Colima,0,0,0,5657.0,309,663125.0,157,69,ND,209,53,0,209,71,165929,174344,262,0
2001,07,Chiapas,2500,36868,30495,9507.0,18613,598663.0,3,349,2478,3433,11,2,3433,349,434310,534507,64832,60
2001,08,Chihuahua,357,1238,995,20281.0,9739,3690376.0,ND,240,1104,1417,ND,2,1349,215,780545,868412,1298,7
2001,09,Ciudad de MÃ©xico,2385,3,ND,56371.0,482,7834083.0,869,ND,ND,ND,614,27,ND,ND,1094835,2529947,ND,42
2001,10,Durango,22,4590,4005,13410.0,7609,712393.0,163,1255,1037,2150,13,12,169,897,306860,369888,877,0
2001,11,Guanajuato,335,1905,1167,16984.0,530,2270800.0,ND,217,7366,215,ND,7,ND,ND,712605,1191935,381,9
2001,12,Guerrero,2690,ND,3330,3312.0,7665,418849.0,ND,220,ND,ND,ND,5,ND,220,282158,ND,ND,70
2001,13,Hidalgo,80,1743,1444,10789.0,ND,1370991.0,ND,ND,ND,ND,ND,1,ND,ND,ND,353434,1223,1
2001,14,Jalisco,14519,9347,2305,16063.0,1742,3557230.0,ND,ND,1638,ND,ND,20,91,ND,1230617,1583248,1070,194
2001,15,MÃ©xico,20790,ND,ND,28425.0,180,5728303.0,ND,ND,ND,ND,ND,6,ND,ND,2545429,2601423,ND,520
2001,16,MichoacÃ¡n de Ocampo,1028,14852,11568,9627.0,3230,1290457.0,ND,ND,2851,ND,ND,3,ND,ND,ND,1058143,22441,32
2001,17,Morelos,ND,ND,ND,5948.0,75,786406.0,71,ND,781,ND,67,ND,ND,ND,79266,448097,ND,ND
2001,18,Nayarit,420,5585,2607,3895.0,1784,592485.0,ND,76,576,41,ND,4,30,76,160359,280597,ND,ND
2001,19,Nuevo LeÃ³n,14385,2220,708,18175.0,584,3953632.0,ND,ND,926,ND,ND,8,ND,ND,908696,1051254,206,ND
2001,20,Oaxaca,1150,15010,10977,5293.0,1944,515858.0,32,245,6725,1776,45,5,1776,245,473793,768650,15560,18
2001,21,Puebla,100,466,359,8126.0,3160,1780627.0,ND,873,ND,2201,ND,1,2270,893,757209,ND,953,2
2001,22,QuerÃ©taro,31,277,239,16679.0,277,2822114.0,ND,273,ND,596,ND,2,168,273,290455,ND,ND,ND
2001,23,Quintana Roo,0,0,0,9908.0,564,1456931.0,457,6,ND,267,193,0,279,6,ND,244912,0,0
2001,24,San Luis PotosÃ­,1176,208,179,26920.0,907,1253394.0,ND,ND,2223,ND,ND,10,815,ND,ND,583894,112,ND
2001,25,Sinaloa,6490,22079,14786,13217.0,1245,1897168.0,29,241,ND,1563,113,125,1115,241,610966,669096,7573,184
2001,26,Sonora,3982,9386,7517,15159.0,895,2071531.0,ND,333,5250,700,ND,26,700,333,526746,584878,4624,98
2001,27,Tabasco,5761,0,0,12777.0,618,640215.0,137,155,942,1039,114,29,602,155,329280,441980,0,164
2001,28,Tamaulipas,ND,14051,8609,22835.0,ND,2664145.0,ND,ND,269,1141,ND,ND,ND,ND,655809,444901,ND,ND
2001,29,Tlaxcala,0,80,46,7169.0,424,388096.0,ND,ND,375,ND,ND,0,ND,ND,ND,210566,15,0
2001,30,Veracruz de Ignacio de la Llave,6350,876,608,15875.0,65793,2000836.0,ND,496,4861,2378,ND,8,1695,493,1030270,1651080,698,145
2001,31,YucatÃ¡n,4745,0,0,8137.0,865,1280733.0,ND,3,ND,680,ND,11,667,10,342055,480594,0,110
2001,32,Zacatecas,ND,755,606,6549.0,1440,331091.0,ND,812,3786,1602,ND,ND,1361,955,302381,387997,164,ND
2002,01,Aguascalientes,38,457,437,20246.0,427,1342692.0,98,292,1453,352,22,2,248,292,240747,286098,141,1
2002,02,Baja California,8744,188,135,26306.0,256,4702156.0,ND,13,2941,242,ND,19,259,13,670710,791696,2380,204
2002,03,Baja California Sur,ND,35,25,4480.0,174,786450.0,ND,20,1961,106,ND,ND,105,14,121639,146029,2,ND
2002,04,Campeche,45,0,0,17104.0,606,443850.0,127,23,1362,415,253,3,343,23,135553,175142,0,1
2002,05,Coahuila de Zaragoza,ND,7926,5404,16734.0,373,2845577.0,ND,ND,709,328,ND,11,ND,29,595095,678318,553,ND
2002,06,Colima,0,0,0,10543.0,279,843950.0,104,73,210,161,44,0,164,73,141551,182873,262,0
2002,07,Chiapas,2500,36868,30495,28632.0,18839,769644.0,18,367,4007,3549,19,2,3547,369,441851,795816,64896,60
2002,08,Chihuahua,357,1447,1204,34379.0,9795,4282261.0,ND,260,1210,1516,ND,2,1446,234,835715,905025,977,7
2002,09,Ciudad de MÃ©xico,2595,2,ND,93535.0,363,12205719.0,869,ND,ND,ND,664,32,ND,ND,1100999,2617059,ND,41
2002,10,Durango,22,4590,4005,9468.0,7245,898174.0,ND,1040,1143,1267,ND,12,143,929,318346,383393,663,0
2002,11,Guanajuato,ND,ND,ND,22112.0,561,3395419.0,ND,217,3167,217,ND,ND,46,46,728267,1230936,ND,ND
2002,12,Guerrero,2808,3281,2391,11741.0,8666,439379.0,ND,220,3460,ND,ND,9,ND,220,417621,691186,ND,81
2002,13,Hidalgo,80,1743,1444,25256.0,5809,1448077.0,ND,ND,ND,ND,ND,1,30,ND,219892,379419,1379,3
2002,14,Jalisco,14494,7603,2367,18604.0,186,3951443.0,ND,115,1704,102,ND,18,89,89,1255510,1631369,1373,187
2002,15,MÃ©xico,20790,ND,ND,51282.0,189,6868876.0,ND,ND,ND,ND,ND,6,ND,ND,2634483,2645028,ND,ND
2002,16,MichoacÃ¡n de Ocampo,1103,15222,11692,11520.0,2490,1376750.0,ND,ND,2888,ND,ND,4,ND,ND,ND,1099933,29309,32
2002,17,Morelos,ND,63,58,4978.0,75,894919.0,80,ND,885,ND,73,ND,ND,ND,81483,451295,ND,ND
2002,18,Nayarit,260,5585,2607,17928.0,ND,665366.0,ND,80,576,45,ND,2,34,80,168337,284661,ND,ND
2002,19,Nuevo LeÃ³n,14385,2220,1423,25711.0,597,5339383.0,ND,ND,926,ND,ND,8,ND,ND,940010,1098507,234,ND
2002,20,Oaxaca,1250,15009,10975,27092.0,1978,437348.0,45,252,6769,1779,58,5,1779,252,552855,852705,15559,18
2002,21,Puebla,400,493,360,23753.0,3296,1948334.0,ND,883,ND,2232,ND,2,2314,922,782448,ND,1033,9
2002,22,QuerÃ©taro,25,278,240,8580.0,280,1632045.0,ND,278,1882,626,ND,1,168,278,305449,ND,ND,0
2002,23,Quintana Roo,ND,0,0,9908.0,635,1456931.0,457,8,ND,291,197,ND,291,8,205441,262758,0,ND
2002,24,San Luis PotosÃ­,1176,208,178,29544.0,908,1760906.0,ND,ND,ND,ND,ND,10,815,ND,337098,595516,85,ND
2002,25,Sinaloa,6601,22079,14781,19947.0,1280,2191969.0,18,254,ND,1607,39,127,1138,254,635340,697055,7191,186
2002,26,Sonora,4779,8408,7044,16219.0,771,2592874.0,ND,338,5250,700,ND,32,700,338,578349,615238,4136,83
2002,27,Tabasco,5761,0,0,11598.0,704,647578.0,429,180,1254,1049,123,29,650,160,313245,462050,0,164
2002,28,Tamaulipas,ND,14051,8609,28806.0,ND,3517574.0,ND,ND,269,ND,ND,ND,ND,ND,ND,889914,ND,ND
2002,29,Tlaxcala,0,80,46,10684.0,429,497981.0,ND,ND,378,ND,ND,0,319,ND,ND,252804,14,0
2002,30,Veracruz de Ignacio de la Llave,7340,876,560,19745.0,65701,2211986.0,ND,536,ND,2422,ND,11,1915,533,1033738,1734293,581,170
2002,31,YucatÃ¡n,4745,0,0,12796.0,880,1481499.0,ND,3,ND,714,ND,11,705,10,342961,501491,0,110
2002,32,Zacatecas,ND,755,606,28649.0,1523,466709.0,ND,861,3786,1714,ND,ND,1415,992,307253,405194,256,ND
2003,01,Aguascalientes,38,457,437,21683.0,429,1958022.0,102,312,1453,363,24,2,280,312,244968,300844,128,1
2003,02,Baja California,10560,188,135,30731.0,303,6455874.0,ND,14,2942,270,ND,37,232,14,712473,835457,2210,175
2003,03,Baja California Sur,0,60,31,6274.0,169,1139018.0,ND,13,1961,106,ND,1,105,15,125335,155218,2,0
2003,04,Campeche,45,0,0,3731.0,621,565438.0,127,23,1251,423,249,3,349,23,137946,182118,0,1
2003,05,Coahuila de Zaragoza,1782,7927,5404,31970.0,488,3988819.0,ND,ND,709,321,ND,6,ND,ND,612092,706205,289,25
2003,06,Colima,0,0,0,9764.0,296,1120364.0,158,69,215,195,75,0,195,71,184080,189660,160,0
2003,07,Chiapas,2500,36868,30495,30542.0,18952,1033786.0,52,391,4068,3628,101,2,3626,393,452575,821291,29112,60
2003,08,Chihuahua,357,4027,1022,46067.0,9795,6442645.0,ND,266,1265,1516,ND,2,1446,240,849565,933396,1090,4
2003,09,Ciudad de MÃ©xico,2750,3,ND,60425.0,355,12674263.0,861,ND,ND,ND,721,32,4,ND,1108113,2688771,ND,50
2003,10,Durango,22,4590,4005,20668.0,7397,1335887.0,ND,1040,1085,1243,ND,12,160,929,328934,396663,717,0
2003,11,Guanajuato,336,2475,1509,28361.0,567,4972229.0,ND,217,7388,217,ND,17,46,46,767885,1291963,1838,9
2003,12,Guerrero,3108,2983,2058,17317.0,8243,888163.0,ND,ND,3460,ND,ND,10,ND,ND,ND,731543,ND,92
2003,13,Hidalgo,80,1743,1444,24655.0,6292,1943445.0,ND,23,ND,92,ND,1,52,12,17481,395272,1379,3
2003,14,Jalisco,12465,11228,10310,28393.0,182,6744673.0,ND,115,2133,104,ND,18,89,89,1277073,1807525,1330,194
2003,15,MÃ©xico,ND,ND,ND,46881.0,193,9845323.0,ND,ND,2456,ND,ND,ND,ND,ND,2634483,2727709,ND,ND
2003,16,MichoacÃ¡n de Ocampo,2245,15312,9309,13913.0,7725,2155939.0,294,ND,2924,1,24,4,1,1,162330,1216308,27251,66
2003,17,Morelos,ND,64,58,7500.0,78,1276734.0,80,ND,886,ND,73,ND,ND,ND,83392,489414,ND,ND
2003,18,Nayarit,170,5585,2607,8592.0,ND,871302.0,ND,80,585,29,ND,2,29,80,153904,293551,ND,ND
2003,19,Nuevo LeÃ³n,14935,1464,1338,30502.0,593,7754216.0,ND,61,926,238,ND,8,159,ND,971790,1146892,611,176
2003,20,Oaxaca,1290,15009,10975,6783.0,2000,744082.0,63,265,6768,1793,59,5,1793,265,554048,874642,15550,18
2003,21,Puebla,460,493,360,27160.0,3477,2880314.0,ND,1043,ND,2283,ND,2,2465,1082,808113,ND,1117,10
2003,22,QuerÃ©taro,25,278,240,13332.0,297,2352224.0,ND,174,1882,579,ND,1,167,146,320285,ND,ND,1
2003,23,Quintana Roo,ND,0,0,15121.0,713,2430643.0,448,8,ND,295,217,ND,295,8,225059,287296,0,ND
2003,24,San Luis PotosÃ­,1244,205,173,18120.0,908,2162308.0,ND,ND,2231,ND,ND,14,815,ND,337098,616470,73,ND
2003,25,Sinaloa,7056,22079,14786,21267.0,1283,3107252.0,ND,273,ND,1645,ND,128,1168,273,652614,723323,4221,193
2003,26,Sonora,4741,8408,7044,23834.0,1030,3571765.0,ND,338,5250,700,ND,29,700,338,596928,641170,ND,72
2003,27,Tabasco,5948,0,0,11674.0,787,1890947.0,367,184,1469,1177,126,28,701,174,330240,469670,0,163
2003,28,Tamaulipas,13352,14051,8609,39561.0,ND,4763269.0,ND,ND,921,168,ND,49,ND,ND,709383,917698,ND,364
2003,29,Tlaxcala,0,80,ND,10423.0,434,688675.0,ND,729,374,ND,ND,0,316,ND,ND,262347,14,0
2003,30,Veracruz de Ignacio de la Llave,6640,610,359,32010.0,65705,3258877.0,ND,901,ND,4810,ND,10,4319,901,1270509,1846514,108,148
2003,31,YucatÃ¡n,ND,0,0,10767.0,904,1824982.0,ND,3,ND,640,ND,ND,641,10,447218,515155,0,ND
2003,32,Zacatecas,4,753,605,16706.0,1541,703919.0,ND,863,3786,1734,ND,5,1435,995,315933,422822,187,0
2004,01,Aguascalientes,38,455,436,20187.0,426,2212152.0,202,313,1453,367,26,2,280,313,253854,317193,131,1
2004,02,Baja California,9004,188,135,38119.0,385,7747550.0,24,14,2954,271,26,37,233,14,755296,872806,2214,188
2004,03,Baja California Sur,ND,60,31,6023.0,147,1778438.0,ND,12,1962,93,ND,ND,93,12,122626,172101,2,ND
2004,04,Campeche,45,0,0,7306.0,653,679937.0,174,23,1272,444,268,3,362,23,155778,192138,0,0
2004,05,Coahuila de Zaragoza,1930,7927,5404,22408.0,540,4552735.0,137,65,756,362,189,6,ND,ND,632526,733796,125,36
2004,06,Colima,0,0,0,12666.0,298,1046542.0,123,71,215,193,127,0,189,73,188319,200710,177,0
2004,07,Chiapas,2500,36835,30467,103722.0,18971,1681122.0,13,400,4584,3707,6,2,3706,402,460575,993569,38901,60
2004,08,Chihuahua,357,4027,1782,32236.0,ND,7051959.0,ND,281,1301,1515,ND,2,1423,255,852215,970809,688,4
2004,09,Ciudad de MÃ©xico,2795,3,ND,78823.0,429,16832319.0,883,ND,ND,ND,673,32,4,ND,1110849,2751706,ND,36
2004,10,Durango,22,4127,1069,14237.0,6884,1384101.0,ND,1230,1077,1156,ND,12,163,722,328848,407723,807,0
2004,11,Guanajuato,331,2474,1509,27804.0,575,5613535.0,150,ND,7527,308,147,26,ND,ND,812355,1338644,1057,11
2004,12,Guerrero,3138,2983,2058,15207.0,8834,1310026.0,ND,ND,3460,ND,ND,11,ND,ND,ND,767019,ND,92
2004,13,Hidalgo,80,1743,1444,23272.0,6390,1943308.0,ND,37,3614,134,ND,1,82,18,22771,629708,1251,3
2004,14,Jalisco,12767,11233,10311,40365.0,191,8723374.0,ND,122,2559,109,ND,20,96,96,1316020,1966644,721,210
2004,15,MÃ©xico,ND,ND,ND,49552.0,197,10960346.0,ND,ND,2456,ND,ND,ND,ND,ND,2987469,2747385,ND,ND
2004,16,MichoacÃ¡n de Ocampo,2375,15267,11736,14476.0,13266,2251668.0,309,1,2959,1,26,5,1,1,166399,1259512,27951,70
2004,17,Morelos,ND,65,59,6823.0,72,1560957.0,122,ND,ND,ND,105,ND,ND,ND,85283,515914,ND,ND
2004,18,Nayarit,170,5585,2607,6103.0,4538,1001492.0,ND,82,591,30,ND,2,33,82,158059,304524,ND,ND
2004,19,Nuevo LeÃ³n,14435,1464,1338,39891.0,594,10002422.0,ND,64,926,239,ND,9,401,35,1008744,1204757,168,211
2004,20,Oaxaca,1290,15007,10973,6151.0,2004,836184.0,ND,274,6939,1798,ND,5,1798,274,554072,916744,15753,9
2004,21,Puebla,500,493,360,20734.0,4857,3265187.0,ND,1094,ND,2283,ND,3,2465,1133,832339,ND,1087,8
2004,22,QuerÃ©taro,70,278,240,12341.0,298,2593955.0,ND,ND,1882,673,ND,4,172,ND,326601,ND,ND,2
2004,23,Quintana Roo,1130,0,0,18078.0,690,3173544.0,458,13,265,295,215,5,295,14,248040,312127,0,ND
2004,24,San Luis PotosÃ­,1244,206,177,18854.0,908,2402691.0,167,312,2303,1119,51,14,815,ND,421433,641429,79,ND
2004,25,Sinaloa,7181,21995,14220,20138.0,1296,3562427.0,148,293,ND,1666,194,131,1238,293,680667,749248,4778,198
2004,26,Sonora,2943,8408,7044,23232.0,1078,3770611.0,ND,172,5250,783,ND,18,783,172,1000656,667297,ND,72
2004,27,Tabasco,5915,0,0,8477.0,806,1252025.0,309,184,1433,1200,93,30,707,173,328442,497014,0,172
2004,28,Tamaulipas,13352,14050,8609,60451.0,ND,5294584.0,ND,68,1206,1245,ND,49,951,64,789772,959035,ND,364
2004,29,Tlaxcala,0,80,45,8469.0,432,663117.0,ND,729,368,ND,ND,0,315,ND,ND,277300,ND,0
2004,30,Veracruz de Ignacio de la Llave,6600,604,353,24091.0,65715,3801016.0,ND,901,5923,7044,ND,8,5996,901,1335460,1924297,107,148
2004,31,YucatÃ¡n,ND,0,0,8770.0,903,1592810.0,ND,3,ND,641,ND,ND,641,10,461109,531016,0,ND
2004,32,Zacatecas,5,753,605,11112.0,1545,1091747.0,109,854,3786,1741,39,7,1443,987,316411,441205,199,0
2005,01,Aguascalientes,38,456,437,20278.0,342,2417197.0,233,313,1461,220,29,2,179,313,266092,332950,132,1
2005,02,Baja California,8279,188,135,31885.0,338,8341336.0,ND,43,2962,282,ND,34,200,16,853608,917692,2107,182
2005,03,Baja California Sur,ND,60,31,5342.0,172,1954859.0,ND,ND,1964,89,ND,1,98,ND,129510,183870,2,ND
2005,04,Campeche,45,0,0,7981.0,664,772501.0,176,23,1272,447,281,3,363,23,159832,201218,0,0
2005,05,Coahuila de Zaragoza,2025,7927,5404,25853.0,308,5542183.0,307,96,789,348,49,39,ND,ND,659356,761158,1272,56
2005,06,Colima,0,0,0,5479.0,298,1042829.0,175,79,209,192,148,0,179,79,199878,210080,232,0
2005,07,Chiapas,2500,36835,30467,33306.0,19054,1708360.0,ND,402,5604,3825,129,2,3824,404,467264,1015873,51155,60
2005,08,Chihuahua,357,3988,1840,38289.0,ND,7802702.0,ND,286,1301,1511,ND,2,1419,259,943050,1005805,1009,4
2005,09,Ciudad de MÃ©xico,2801,3,ND,57174.0,491,15409791.0,772,ND,ND,ND,387,33,4,ND,1089888,2745605,ND,68
2005,10,Durango,22,4127,2459,12338.0,6889,1611645.0,ND,1184,1095,1166,ND,13,163,724,330934,421625,1059,0
2005,11,Guanajuato,331,2469,1681,34422.0,582,5770650.0,429,ND,7659,308,123,26,ND,ND,842793,1408214,1312,10
2005,12,Guerrero,3308,2983,2058,12184.0,7956,1394717.0,ND,ND,ND,ND,ND,12,ND,ND,222896,ND,ND,94
2005,13,Hidalgo,50,1743,1441,15953.0,6467,2214515.0,ND,39,850,154,ND,1,102,20,27342,622715,1488,1
2005,14,Jalisco,12767,11224,10296,42160.0,21897,9922954.0,773,122,ND,112,58,20,99,96,1392271,2050559,958,220
2005,15,MÃ©xico,22144,ND,ND,58321.0,197,12850350.0,ND,ND,2548,ND,ND,10,ND,ND,ND,2782826,ND,ND
2005,16,MichoacÃ¡n de Ocampo,2375,15277,9492,17749.0,13465,2904015.0,315,1,2990,1,26,5,1,1,178068,1301330,25020,68
2005,17,Morelos,ND,65,59,8741.0,73,1816488.0,135,ND,ND,ND,99,ND,ND,ND,86193,524951,ND,ND
2005,18,Nayarit,170,5584,2607,9052.0,4629,1012713.0,ND,83,591,20,ND,2,20,83,162053,316125,ND,5
2005,19,Nuevo LeÃ³n,ND,1463,1338,51616.0,25,11957745.0,ND,67,926,2583,ND,ND,429,37,1076820,1260358,187,ND
2005,20,Oaxaca,1290,15007,10973,10109.0,2082,1175227.0,101,294,6978,1798,35,5,1798,294,525973,955146,15785,11
2005,21,Puebla,775,493,360,26986.0,4770,3921752.0,ND,1166,ND,2347,ND,4,2529,1205,904473,1225817,902,17
2005,22,QuerÃ©taro,220,278,240,11931.0,278,2780746.0,ND,ND,ND,981,ND,6,212,ND,315497,ND,ND,2
2005,23,Quintana Roo,ND,0,0,21505.0,694,3800273.0,307,15,265,298,467,ND,298,15,266975,341095,0,ND
2005,24,San Luis PotosÃ­,1141,207,176,16993.0,245,2749111.0,207,374,2350,ND,93,12,2263,128,447842,669486,76,ND
2005,25,Sinaloa,7391,22046,13592,19435.0,1308,4118702.0,275,316,ND,1672,210,136,1244,316,692130,779062,8104,202
2005,26,Sonora,2943,8408,7044,23561.0,1117,4633902.0,ND,ND,5250,ND,ND,18,ND,ND,685537,692493,ND,72
2005,27,Tabasco,5720,0,0,9559.0,765,1197028.0,304,196,1401,1214,102,30,695,193,336797,512792,0,173
2005,28,Tamaulipas,13945,14050,8609,39777.0,ND,6541464.0,ND,65,1134,ND,ND,55,ND,45,797452,1008859,ND,336
2005,29,Tlaxcala,0,78,40,6237.0,435,738648.0,ND,729,370,ND,ND,0,315,ND,ND,293273,ND,0
2005,30,Veracruz de Ignacio de la Llave,6600,604,353,31292.0,65762,4179220.0,ND,920,6123,7044,ND,8,6003,918,1371526,2008742,102,148
2005,31,YucatÃ¡n,ND,0,0,13423.0,916,2428499.0,329,3,ND,641,440,ND,641,10,478228,550282,0,ND
2005,32,Zacatecas,6,775,624,14800.0,1554,811725.0,80,847,3786,1756,22,12,1458,988,319728,454690,199,0
2006,01,Aguascalientes,ND,456.0,437,20663.0,ND,3098872.0,177,ND,1799,ND,22,ND,ND,ND,ND,348112,133,ND
