Year,State_ID,State,Presuntos delincuentes registrados en los juzgados de primera instancia en materia penal del fuero comÃºn a/,Presuntos delincuentes registrados en los juzgados de primera instancia en materia penal del fuero federal a/,Sentenciados registrados en los juzgados de primera instancia en materia penal del fuero comÃºn a/,Sentenciados registrados en los juzgados de primera instancia en materia penal del fuero federal a/,Tasa de personas con sentencia condenatoria b/,Tasa de personas con sentencia condenatoria del fuero comÃºn d/,Tasa de personas con sentencia condenatoria del fuero federal c/
1995,25,Sinaloa,3539.0,2283.0,3848.0,1986.0,100.21,108.73,86.99
1995,26,Sonora,5947.0,1728.0,5215.0,1274.0,84.55,87.69,73.73
1995,27,Tabasco,6356.0,595.0,4529.0,423.0,71.24,71.26,71.09
1995,28,Tamaulipas,8852.0,1920.0,7603.0,1554.0,85.01,85.89,80.94
1995,29,Tlaxcala,998.0,241.0,613.0,174.0,63.52,61.42,72.2
1995,30,Veracruz de Ignacio de la Llave,10196.0,1229.0,7697.0,904.0,75.28,75.49,73.56
1995,31,YucatÃ¡n,2432.0,268.0,2445.0,210.0,98.33,100.53,78.36
1995,32,Zacatecas,2182.0,389.0,1620.0,277.0,73.78,74.24,71.21
1996,01,Aguascalientes,2180.0,265.0,2305.0,303.0,106.67,105.734,114.34
1996,02,Baja California,5850.0,3151.0,6623.0,2089.0,96.79,113.214,66.296
1996,03,Baja California Sur,1345.0,253.0,1074.0,247.0,82.67,79.851,97.62799999999999
1996,04,Campeche,1666.0,311.0,831.0,215.0,52.91,49.88,69.132
1996,05,Coahuila de Zaragoza,3940.0,1088.0,2050.0,1048.0,61.61,52.03,96.324
1996,06,Colima,1691.0,408.0,1152.0,424.0,75.08,68.125,103.92200000000001
1996,07,Chiapas,4879.0,919.0,3601.0,880.0,77.29,73.806,95.756
1996,08,Chihuahua,6385.0,1673.0,5252.0,1218.0,80.29,82.255,72.803
1996,09,Ciudad de MÃ©xico,15461.0,1930.0,12634.0,1652.0,82.15,81.715,85.596
1996,10,Durango,1746.0,901.0,1282.0,729.0,75.97,73.425,80.91
1996,11,Guanajuato,4935.0,1456.0,5729.0,1409.0,111.69,116.089,96.772
1996,12,Guerrero,2669.0,429.0,1409.0,471.0,60.68,52.791000000000004,109.79
1996,13,Hidalgo,1458.0,332.0,1261.0,258.0,84.86,86.488,77.711
1996,14,Jalisco,8236.0,2147.0,7217.0,1937.0,88.16,87.62700000000001,90.219
1996,15,MÃ©xico,9952.0,1548.0,9557.0,1092.0,92.6,96.031,70.543
1996,16,MichoacÃ¡n de Ocampo,7472.0,1446.0,5736.0,1317.0,79.09,76.767,91.079
1996,17,Morelos,2581.0,729.0,2266.0,765.0,91.57,87.795,104.93799999999999
1996,18,Nayarit,2385.0,500.0,1701.0,548.0,77.95,71.321,109.6
1996,19,Nuevo LeÃ³n,5846.0,831.0,4433.0,739.0,77.46,75.83,88.929
1996,20,Oaxaca,4940.0,869.0,3789.0,798.0,78.96,76.7,91.83
1996,21,Puebla,4464.0,600.0,4027.0,544.0,90.26,90.211,90.667
1996,22,QuerÃ©taro,3717.0,261.0,3036.0,184.0,80.95,81.679,70.498
1996,23,Quintana Roo,1126.0,371.0,793.0,263.0,70.54,70.426,70.889
1996,24,San Luis PotosÃ­,3784.0,561.0,2819.0,528.0,77.03,74.498,94.118
1996,25,Sinaloa,3787.0,2408.0,3620.0,2081.0,92.03,95.59,86.42
1996,26,Sonora,6744.0,2039.0,5664.0,1619.0,82.92,83.986,79.402
1996,27,Tabasco,5565.0,608.0,4025.0,461.0,72.67,72.327,75.822
1996,28,Tamaulipas,8449.0,2157.0,7036.0,1779.0,83.11,83.27600000000001,82.476
1996,29,Tlaxcala,986.0,207.0,602.0,217.0,68.65,61.055,104.831
1996,30,Veracruz de Ignacio de la Llave,10539.0,1184.0,7365.0,940.0,70.84,69.883,79.392
1996,31,YucatÃ¡n,2276.0,227.0,2515.0,201.0,108.51,110.501,88.546
1996,32,Zacatecas,2403.0,345.0,1675.0,257.0,70.31,69.705,74.493
1997,01,Aguascalientes,1730.0,198.0,1393.0,183.0,86.0,85.1,93.4
1997,02,Baja California,5875.0,2900.0,6732.0,1821.0,92.6,92.9,91.5
