Year,State_ID,State,Total
1996,02,Baja California,1230.0
1996,03,Baja California Sur,225.0
1996,04,Campeche,44.0
1996,05,Coahuila de Zaragoza,216.0
1996,06,Colima,61.0
1996,07,Chiapas,21.0
1996,08,Chihuahua,88.0
1996,09,Ciudad de MÃ©xico,5273.0
1996,10,Durango,505.0
1996,11,Guanajuato,289.0
1996,12,Guerrero,751.0
1996,13,Hidalgo,289.0
1996,14,Jalisco,2833.0
1996,15,MÃ©xico,5875.0
1996,16,MichoacÃ¡n de Ocampo,297.0
1996,17,Morelos,764.0
1996,18,Nayarit,223.0
1996,19,Nuevo LeÃ³n,8356.0
1996,20,Oaxaca,207.0
1996,21,Puebla,786.0
1996,22,QuerÃ©taro,546.0
1996,23,Quintana Roo,627.0
1996,24,San Luis PotosÃ­,149.0
1996,25,Sinaloa,171.0
1996,26,Sonora,652.0
1996,27,Tabasco,133.0
1996,28,Tamaulipas,675.0
1996,29,Tlaxcala,69.0
1996,30,Veracruz de Ignacio de la Llave,1446.0
1996,31,YucatÃ¡n,90.0
1996,32,Zacatecas,2.0
1997,01,Aguascalientes,90.0
1997,02,Baja California,1345.0
1997,03,Baja California Sur,229.0
1997,04,Campeche,38.0
1997,05,Coahuila de Zaragoza,185.0
1997,06,Colima,77.0
1997,07,Chiapas,54.0
1997,08,Chihuahua,72.0
1997,09,Ciudad de MÃ©xico,4056.0
1997,10,Durango,420.0
1997,11,Guanajuato,329.0
1997,12,Guerrero,748.0
1997,13,Hidalgo,447.0
1997,14,Jalisco,4363.0
1997,15,MÃ©xico,5857.0
1997,16,MichoacÃ¡n de Ocampo,351.0
1997,17,Morelos,773.0
1997,18,Nayarit,246.0
1997,19,Nuevo LeÃ³n,7449.0
1997,20,Oaxaca,212.0
1997,21,Puebla,1235.0
1997,22,QuerÃ©taro,339.0
1997,23,Quintana Roo,1103.0
1997,24,San Luis PotosÃ­,132.0
1997,25,Sinaloa,187.0
1997,26,Sonora,701.0
1997,27,Tabasco,309.0
1997,28,Tamaulipas,511.0
1997,29,Tlaxcala,77.0
1997,30,Veracruz de Ignacio de la Llave,1461.0
1997,31,YucatÃ¡n,100.0
1997,32,Zacatecas,8.0
1998,01,Aguascalientes,59.0
1998,02,Baja California,1605.0
1998,03,Baja California Sur,210.0
1998,04,Campeche,49.0
1998,05,Coahuila de Zaragoza,166.0
1998,06,Colima,59.0
1998,07,Chiapas,20.0
1998,08,Chihuahua,70.0
1998,09,Ciudad de MÃ©xico,3758.0
1998,10,Durango,389.0
1998,11,Guanajuato,373.0
1998,12,Guerrero,718.0
1998,13,Hidalgo,558.0
1998,14,Jalisco,4850.0
1998,15,MÃ©xico,6324.0
1998,16,MichoacÃ¡n de Ocampo,279.0
1998,17,Morelos,644.0
1998,18,Nayarit,256.0
1998,19,Nuevo LeÃ³n,6163.0
1998,20,Oaxaca,242.0
1998,21,Puebla,956.0
1998,22,QuerÃ©taro,333.0
1998,23,Quintana Roo,1022.0
1998,24,San Luis PotosÃ­,126.0
1998,25,Sinaloa,172.0
1998,26,Sonora,1080.0
1998,27,Tabasco,312.0
1998,28,Tamaulipas,452.0
1998,29,Tlaxcala,68.0
1998,30,Veracruz de Ignacio de la Llave,1827.0
1998,31,YucatÃ¡n,80.0
1998,32,Zacatecas,5.0
1999,01,Aguascalientes,121.0
1999,02,Baja California,2043.0
1999,03,Baja California Sur,228.0
1999,04,Campeche,22.0
1999,05,Coahuila de Zaragoza,186.0
1999,06,Colima,70.0
1999,07,Chiapas,37.0
1999,08,Chihuahua,36.0
1999,09,Ciudad de MÃ©xico,3004.0
1999,10,Durango,460.0
1999,11,Guanajuato,260.0
1999,12,Guerrero,716.0
1999,13,Hidalgo,537.0
1999,14,Jalisco,4877.0
1999,15,MÃ©xico,7332.0
1999,16,MichoacÃ¡n de Ocampo,322.0
1999,17,Morelos,747.0
1999,18,Nayarit,263.0
1999,19,Nuevo LeÃ³n,3610.0
1999,20,Oaxaca,214.0
1999,21,Puebla,1092.0
1999,22,QuerÃ©taro,326.0
1999,23,Quintana Roo,779.0
1999,24,San Luis PotosÃ­,113.0
1999,25,Sinaloa,188.0
1999,26,Sonora,1067.0
1999,27,Tabasco,112.0
1999,28,Tamaulipas,468.0
1999,29,Tlaxcala,84.0
1999,30,Veracruz de Ignacio de la Llave,1808.0
1999,31,YucatÃ¡n,94.0
1999,32,Zacatecas,7.0
2000,01,Aguascalientes,108.0
2000,02,Baja California,2611.0
2000,03,Baja California Sur,249.0
2000,04,Campeche,35.0
2000,05,Coahuila de Zaragoza,184.0
2000,06,Colima,65.0
2000,07,Chiapas,21.0
2000,08,Chihuahua,65.0
2000,09,Ciudad de MÃ©xico,2707.0
2000,10,Durango,418.0
2000,11,Guanajuato,162.0
2000,12,Guerrero,729.0
2000,13,Hidalgo,638.0
2000,14,Jalisco,5299.0
2000,15,MÃ©xico,2994.0
2000,16,MichoacÃ¡n de Ocampo,325.0
2000,17,Morelos,810.0
2000,18,Nayarit,184.0
2000,19,Nuevo LeÃ³n,3707.0
2000,20,Oaxaca,238.0
2000,21,Puebla,1075.0
2000,22,QuerÃ©taro,538.0
2000,23,Quintana Roo,484.0
2000,24,San Luis PotosÃ­,122.0
2000,25,Sinaloa,165.0
2000,26,Sonora,824.0
2000,27,Tabasco,116.0
2000,28,Tamaulipas,530.0
2000,29,Tlaxcala,79.0
2000,30,Veracruz de Ignacio de la Llave,1966.0
2000,31,YucatÃ¡n,105.0
2000,32,Zacatecas,5.0
2001,01,Aguascalientes,68.0
2001,02,Baja California,1839.0
2001,03,Baja California Sur,166.0
2001,04,Campeche,21.0
2001,05,Coahuila de Zaragoza,171.0
2001,06,Colima,76.0
2001,07,Chiapas,20.0
2001,08,Chihuahua,62.0
2001,09,Ciudad de MÃ©xico,2715.0
2001,10,Durango,348.0
2001,11,Guanajuato,145.0
2001,12,Guerrero,538.0
2001,13,Hidalgo,578.0
2001,14,Jalisco,5205.0
2001,15,MÃ©xico,2944.0
2001,16,MichoacÃ¡n de Ocampo,275.0
2001,17,Morelos,541.0
2001,18,Nayarit,117.0
2001,19,Nuevo LeÃ³n,1399.0
2001,20,Oaxaca,204.0
2001,21,Puebla,1026.0
2001,22,QuerÃ©taro,650.0
2001,23,Quintana Roo,196.0
2001,24,San Luis PotosÃ­,145.0
2001,25,Sinaloa,186.0
2001,26,Sonora,887.0
2001,27,Tabasco,112.0
2001,28,Tamaulipas,384.0
2001,29,Tlaxcala,98.0
2001,30,Veracruz de Ignacio de la Llave,1689.0
2001,31,YucatÃ¡n,101.0
2001,32,Zacatecas,5.0
2002,01,Aguascalientes,93.0
2002,02,Baja California,730.0
2002,03,Baja California Sur,84.0
2002,04,Campeche,19.0
2002,05,Coahuila de Zaragoza,217.0
2002,06,Colima,55.0
2002,07,Chiapas,20.0
2002,09,Ciudad de MÃ©xico,3160.0
2002,10,Durango,386.0
2002,11,Guanajuato,83.0
2002,12,Guerrero,432.0
2002,13,Hidalgo,622.0
2002,14,Jalisco,5725.0
2002,15,MÃ©xico,3019.0
2002,16,MichoacÃ¡n de Ocampo,225.0
2002,17,Morelos,511.0
2002,18,Nayarit,23.0
2002,19,Nuevo LeÃ³n,1637.0
2002,20,Oaxaca,262.0
2002,21,Puebla,1799.0
2002,22,QuerÃ©taro,725.0
2002,23,Quintana Roo,124.0
2002,24,San Luis PotosÃ­,142.0
2002,25,Sinaloa,183.0
2002,26,Sonora,681.0
2002,27,Tabasco,120.0
2002,28,Tamaulipas,649.0
2002,29,Tlaxcala,65.0
2002,30,Veracruz de Ignacio de la Llave,1643.0
2002,31,YucatÃ¡n,128.0
2002,32,Zacatecas,58.0
2003,01,Aguascalientes,63.0
2003,02,Baja California,1435.0
2003,03,Baja California Sur,110.0
2003,04,Campeche,17.0
2003,05,Coahuila de Zaragoza,219.0
2003,06,Colima,50.0
2003,07,Chiapas,27.0
2003,08,Chihuahua,4.0
2003,09,Ciudad de MÃ©xico,3118.0
2003,10,Durango,370.0
2003,11,Guanajuato,69.0
2003,12,Guerrero,391.0
2003,13,Hidalgo,696.0
2003,14,Jalisco,6660.0
2003,15,MÃ©xico,2341.0
2003,16,MichoacÃ¡n de Ocampo,172.0
2003,17,Morelos,374.0
2003,18,Nayarit,32.0
