1998,26,SONORA,48066,16239,555,8162,327,1159,8508,9594,6,20310,0,0,0,31827
1998,27,TABASCO,31146,21123,368,5638,499,571,8482,3796,76,12084,0,0,0,10023
1998,28,TAMAULIPAS,38074,21525,428,4568,283,1060,6041,10151,0,15945,0,26,0,16549
1998,29,TLAXCALA,6905,1941,49,1097,154,120,1532,1875,1,2122,0,4,0,4964
1998,30,VERACRUZ,61085,16201,707,11475,892,1667,12886,17580,6,16568,0,11,0,44884
1998,31,YUCATAN,45293,9045,23,8881,259,100,7856,20089,0,8093,0,15,0,36248
1998,32,ZACATECAS,9555,2817,316,1920,110,358,1796,1869,30,3462,0,10,0,6738
1999,1,AGUASCALIENTES,11219,1602,27,2918,57,177,1809,2631,2,3623,0,2,0,9617
1999,2,BAJA CALIFORNIA,132115,53601,657,24703,385,657,14550,28782,23,62970,0,45,0,78514
1999,3,BAJA CALIFORNIA SUR,12377,1423,31,2692,49,86,1388,3094,5,5063,0,0,0,10954
1999,4,CAMPECHE,8666,2158,78,1649,110,198,1742,2679,6,2281,0,1,0,6508
1999,5,COAHUILA,19619,4805,139,2899,146,357,3724,6057,0,6433,0,3,0,14814
1999,6,COLIMA,5088,1012,53,764,49,149,957,1927,3,1239,0,0,0,4076
1999,7,CHIAPAS,31767,9204,1452,4597,505,2268,5346,12745,37,6214,0,55,0,22563
1999,8,CHIHUAHUA,57970,8533,425,12658,385,904,9385,12257,3,22353,0,25,0,49437
1999,9,CIUDAD DE MEXICO,227212,115189,880,26546,1355,1781,34032,16048,120,147275,0,55,0,112023
1999,10,DURANGO,12934,2864,291,2664,60,388,2347,3709,5,3761,0,0,0,10070
1999,11,GUANAJUATO,34870,7768,259,8923,172,1096,8863,1953,11,13840,0,12,0,27102
1999,12,GUERRERO,29474,9275,1242,2828,561,1692,3491,12823,35,8034,0,10,0,20199
1999,13,HIDALGO,17921,4387,199,3099,235,530,4252,5122,13,4663,0,7,0,13534
1999,14,JALISCO,82468,14940,545,10657,590,3271,12538,20279,31,35051,0,51,0,67528
1999,15,MEXICO,187331,80590,2966,15497,1865,6265,37920,48848,36,76879,0,21,0,106741
1999,16,MICHOACAN,29625,4993,575,5293,290,2084,5197,6666,63,10032,0,0,0,24632
1999,17,MORELOS,28836,8634,344,3613,219,681,4117,10523,9,9669,0,5,0,20202
1999,18,NAYARIT,6378,1860,146,596,86,264,988,1418,25,3001,0,0,0,4518
1999,19,NUEVO LEON,54317,11873,131,8064,209,532,18809,4651,1,22041,0,10,0,42444
1999,20,OAXACA,32330,6327,823,4456,244,1159,5299,15189,78,5903,0,2,0,26003
1999,21,PUEBLA,49865,10982,575,8331,595,1581,10388,12075,12,16858,0,25,0,38883
1999,22,QUERETARO,18254,3077,55,1382,180,473,2835,6179,6,7195,0,4,0,15177
1999,23,QUINTANA ROO,18278,4980,123,3248,213,253,2445,4346,7,7764,0,2,0,13298
1999,24,SAN LUIS POTOSI,42455,10418,414,9927,298,696,9247,13003,2,9281,0,1,0,32037
1999,25,SINALOA,19088,5460,564,1937,162,1166,2979,3033,38,9727,0,46,0,13628
1999,26,SONORA,27622,8058,292,5549,236,905,5555,6520,7,8832,0,18,0,19564
1999,27,TABASCO,26933,15886,229,4676,370,455,7864,3672,0,9896,0,0,0,11047
1999,28,TAMAULIPAS,41809,21825,253,5171,291,961,6746,12535,4,16083,0,18,0,19984
1999,29,TLAXCALA,5305,1527,163,659,178,298,1063,1675,0,1429,0,3,0,3778
1999,30,VERACRUZ,58976,15140,590,11033,1036,1489,12686,17486,8,15234,0,4,0,43836
1999,31,YUCATAN,47735,8571,8,8472,228,134,7771,23838,0,7284,0,8,0,39164
1999,32,ZACATECAS,11630,4553,90,2478,133,292,2310,2817,0,3593,0,7,0,7077
2000,1,AGUASCALIENTES,10834,1227,14,2910,76,174,1837,2715,1,3120,0,1,0,9607
2000,2,BAJA CALIFORNIA,109848,57334,460,17362,670,460,13351,25357,47,52545,0,56,0,52514
2000,3,BAJA CALIFORNIA SUR,13371,1668,31,2851,59,87,1563,3602,1,5208,0,0,0,11703
2000,4,CAMPECHE,5999,1375,55,1244,118,161,933,2161,0,1381,0,1,0,4624
2000,5,COAHUILA,26397,5863,113,4571,192,397,5149,7743,0,8343,0,2,0,20534
2000,6,COLIMA,4480,1008,45,691,78,142,1077,1507,1,983,0,1,0,3472
2000,7,CHIAPAS,29804,9150,1270,4176,466,1955,5498,11577,28,6080,0,24,0,20654
