Year,State,State_ID,Crime_type,Total
1997,GUERRERO,12,Banking Thief,7
1997,HIDALGO,13,Household Crimes,3207
1997,HIDALGO,13,Rape,292
1997,HIDALGO,13,Homicides,585
1997,HIDALGO,13,Injuries,4649
1997,HIDALGO,13,Other Crimes,7272
1997,HIDALGO,13,Kidnap,5
1997,HIDALGO,13,Common Thief,5584
1997,HIDALGO,13,Cattle Thief,0
1997,HIDALGO,13,Highway Thief,0
1997,HIDALGO,13,Banking Thief,0
1997,JALISCO,14,Household Crimes,9526
1997,JALISCO,14,Rape,514
1997,JALISCO,14,Homicides,3455
1997,JALISCO,14,Injuries,14062
1997,JALISCO,14,Other Crimes,27280
1997,JALISCO,14,Kidnap,112
1997,JALISCO,14,Common Thief,42419
1997,JALISCO,14,Cattle Thief,0
1997,JALISCO,14,Highway Thief,0
1997,JALISCO,14,Banking Thief,55
1997,MEXICO,15,Household Crimes,10974
1997,MEXICO,15,Rape,1884
1997,MEXICO,15,Homicides,6229
1997,MEXICO,15,Injuries,31398
1997,MEXICO,15,Other Crimes,65593
1997,MEXICO,15,Kidnap,36
1997,MEXICO,15,Common Thief,64664
1997,MEXICO,15,Cattle Thief,0
1997,MEXICO,15,Highway Thief,0
1997,MEXICO,15,Banking Thief,33
1997,MICHOACAN,16,Household Crimes,5018
1997,MICHOACAN,16,Rape,255
1997,MICHOACAN,16,Homicides,2047
1997,MICHOACAN,16,Injuries,4544
1997,MICHOACAN,16,Other Crimes,11180
1997,MICHOACAN,16,Kidnap,112
1997,MICHOACAN,16,Common Thief,11119
1997,MICHOACAN,16,Cattle Thief,0
1997,MICHOACAN,16,Highway Thief,0
1997,MICHOACAN,16,Banking Thief,7
1997,MORELOS,17,Household Crimes,2963
1997,MORELOS,17,Rape,192
1997,MORELOS,17,Homicides,398
1997,MORELOS,17,Injuries,3376
1997,MORELOS,17,Other Crimes,10195
1997,MORELOS,17,Kidnap,6
1997,MORELOS,17,Common Thief,8439
1997,MORELOS,17,Cattle Thief,0
1997,MORELOS,17,Highway Thief,0
1997,MORELOS,17,Banking Thief,11
1997,NAYARIT,18,Household Crimes,1271
1997,NAYARIT,18,Rape,83
1997,NAYARIT,18,Homicides,461
1997,NAYARIT,18,Injuries,1817
1997,NAYARIT,18,Other Crimes,2312
1997,NAYARIT,18,Kidnap,9
1997,NAYARIT,18,Common Thief,2658
1997,NAYARIT,18,Cattle Thief,0
1997,NAYARIT,18,Highway Thief,0
1997,NAYARIT,18,Banking Thief,0
1997,NUEVO LEON,19,Household Crimes,4829
1997,NUEVO LEON,19,Rape,118
1997,NUEVO LEON,19,Homicides,325
1997,NUEVO LEON,19,Injuries,9070
1997,NUEVO LEON,19,Other Crimes,8032
1997,NUEVO LEON,19,Kidnap,5
1997,NUEVO LEON,19,Common Thief,15198
